msno,churn_probability,reason_1,category_1,reason_2,category_2,reason_3,category_3
CZstgAcwf45/jpfRiwYEk7gfLjLQB0we2t0T40F3YL8=,0.2236,서비스 가입 기간(장기/단기) 특성,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
uer1STsCJT1EL1PzoYEpDqE7si8qxcfpk+BME7qra40=,0.1637,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
nlzIMPGpAamN8Wkx6i3mZffD3PCH9XBToDjHP1Xmy5Q=,0.977,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독
hrmbdSxCWjrsM7qh24pBVtgjOhzLpebLuzgE1U0fpmw=,0.5288,자동 결제 해지 또는 미설정,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
Hg4Voq+zAXU3uGHgq8cNMKFb8tWTd3geicBlXDoMCS4=,0.2688,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
qT7vutJ+DDL4mwSK2KfAnrh40gpiNdM2tE+6Kp0VEtw=,0.7186,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여
cc6B3OTisXkhX79OZaFEkCQ7p+Wx7fKn2sM4pKAAwp8=,0.0822,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,98.5% 이하 청취 비중 높음,활동 및 참여
Mv/E8OK/UA8JV3DfKLppEyoXG/OdQeEWH9nkh8437/w=,0.1834,서비스 가입 기간(장기/단기) 특성,활동 및 참여,25% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
ba1zMB7AXfjWC8r2y11jtXwBUFVzERyY3IdOO9VXTlI=,0.9945,결제 플랜 기간 (단기 이용 등),결제 및 구독,자동 결제 해지 또는 미설정,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
Srzvy+myBlmANYTVQQsBtAoEJsxoltHY4nztpxXaNgc=,0.116,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여
GbKnS81VK4sussd9sejo79CIEacakJKcniuX4LErPUg=,0.1545,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
YDNEWXl6cWupfb4CBgdz5EMf74EaBOW0xHePH3K97B0=,0.1389,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
wXsijX6PA82vCcglwdj7kSvkal5t1949/WCKzDVo3+o=,0.9642,자동 결제 해지 또는 미설정,결제 및 구독,결제 플랜 기간 (단기 이용 등),결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
yxVt9sJsAMlN1PslA8w+0O21UaI+gwiXonX9XmhEdC4=,0.838,자동 결제 해지 또는 미설정,결제 및 구독,결제 플랜 기간 (단기 이용 등),결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여
hlPKdwEAN8eUcdqatG1NqmBzk/tzBxLw1bxpe9OBm0U=,0.6166,자동 결제 해지 또는 미설정,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독,사용자 연령대 특성,사용자 프로필
hLPngb1WoBtg/5teTQqOlLEe3zINFQ5N9iF8Y8ZWnbk=,0.2713,지역적 인구 통계 특성,사용자 프로필,사용자 연령대 특성,사용자 프로필,서비스 가입 기간(장기/단기) 특성,활동 및 참여
g0BkQvuDV+Sc007HGO9e8b45Ni/mNSVvWn12KKCZ8+Q=,0.1578,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
qUVMTzmliDleu9/sFx7smt/7noJfwvM3oSrIfSj8idQ=,0.4814,자동 결제 해지 또는 미설정,결제 및 구독,지역적 인구 통계 특성,사용자 프로필,서비스 가입 기간(장기/단기) 특성,활동 및 참여
25Qxeyfmvf4KZ6NlpMF0JoIB5fo4RrJSLqW8qg2Br4g=,0.1674,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
FHjx5k6DdP3R50zUKVKiWhcuvUj4+oOvenYbMbObbt8=,0.986,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독
smFBhyYKpUkvyrdK20TwCqIFsme2zXJME/OogsqJ0B8=,0.0946,결제 및 갱신 횟수 부족,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
5lZeR2OGblRV2ztwlURaZB0eyK81MtwTf3zqrzPatzM=,0.1501,실제 결제 금액 관련 특이점,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
dNPeaKLGv9ypkmOyFHcRAtLZEvusMqC5A/w7/XCyORE=,0.8641,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여
WdGy7As+FP3lq5o3lZLLPaZf0TknvtGRPC2E7BqCQso=,0.1141,지역적 인구 통계 특성,사용자 프로필,전체 스트리밍 곡 수 부족,콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
vpmNBMMPtxDqLtsXjZBjyDHI9DhwzpTfzA0vRnJM5BQ=,0.1443,서비스 가입 기간(장기/단기) 특성,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여
PcqlWGSfHce7lhJYdpugFwRUFwyAgy+jePKw1Tt8mc0=,0.0851,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
l1Hc43vzU77l7p+nVmCIhSpKFgBKsjFcdaUzRM5p5cA=,0.9712,직접적인 서비스 취소 요청 발생,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,25% 이하 청취 비중 높음,활동 및 참여
KxRvazb74DNOFqmUq+sAObMWptpgbMslKjMtJnK4zBo=,0.4959,자동 결제 해지 또는 미설정,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독,50% 이하 청취 비중 높음,활동 및 참여
apGkWQbRnaqqdROZWLkYgpK1zX+vegy692zaRpnv43Y=,0.1289,특정 가입 경로(플랫폼) 특성,사용자 프로필,전체 스트리밍 시간 부족,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
PyzfxMPzbPaWPlx5qViYQMWGDgc5VGH5a+jucXwdeZU=,0.1044,서비스 가입 기간(장기/단기) 특성,활동 및 참여,전체 스트리밍 시간 부족,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
G7TiVD4PhQZDbVDBvTxjmWSnvFbxlQxuv4NlgyO4Or8=,0.1894,실제 결제 금액 관련 특이점,결제 및 구독,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
3MLhPwU4shQuuCapwoku/7q5c8uN99S+xF+1B0v2bqs=,0.148,특정 가입 경로(플랫폼) 특성,사용자 프로필,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
gJSa+2AVlnB7R3tIl5EggkqJ1OohTCl9OnQRzJY4XTM=,0.0352,num_unq,기타,특정 가입 경로(플랫폼) 특성,사용자 프로필,사용자 연령대 특성,사용자 프로필
f+Cbz89h8aqHNu+W7pqdUE25lvRcRF7Hb2ROVnGoOVA=,0.0974,서비스 가입 기간(장기/단기) 특성,활동 및 참여,25% 이하 청취 비중 높음,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
v7Z1Wewq8nV9gfXqOVT0/DVVy0p8ev8N4xsGxvtr+Ms=,0.1446,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
31JF1hbTZO0KYRY82zjoM+RH03S1mC0dLo2tneNB+yc=,0.0981,서비스 가입 기간(장기/단기) 특성,활동 및 참여,25% 이하 청취 비중 높음,활동 및 참여,98.5% 이하 청취 비중 높음,활동 및 참여
DajMV9SISZn1LEfYSjojwI5bt87K726k4Pscq7fkyVs=,0.1321,실제 결제 금액 관련 특이점,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
hqLvEChdKUL00GRNvWSCSCLw9oqzc++OuWLvqhy0Exk=,0.192,실제 결제 금액 관련 특이점,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여
sleHd02kYaj5JJfh6GXS+jKbUjnWOSJ7XjYBKYdT2Q0=,0.0488,25% 이하 청취 비중 높음,활동 및 참여,전체 스트리밍 곡 수 부족,콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
pT7sKywsRpn3QCAnz68289QNtMzn9aXZVsrymtJZxTY=,0.0291,서비스 가입 기간(장기/단기) 특성,활동 및 참여,전체 스트리밍 곡 수 부족,콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
H7SyRrSFrfQ9GYV2vjHuBuTIodwJo1vsRZoHvLbhqt0=,0.1423,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여
FmG5bkMey5wbC5h8hXfJyefqUrMTvFOKWYFAdpsWPZ0=,0.1404,특정 가입 경로(플랫폼) 특성,사용자 프로필,98.5% 이하 청취 비중 높음,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
tMcxMogXvWwkBgcYMWvs2rXSHn3d/gnSbv4Q8CCdDQ4=,0.1048,지역적 인구 통계 특성,사용자 프로필,50% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
+f2srhLduQQyuf2DqdutmIKEtXL3f7C9RqoO8B3igTU=,0.1267,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,100% 완청 횟수 낮음,활동 및 참여
vqYC1AMAmkFRFAj+EH4/RmLgqGkMCHkDd4Sa7Y9/cjY=,0.0797,지역적 인구 통계 특성,사용자 프로필,특정 가입 경로(플랫폼) 특성,사용자 프로필,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
M4VLiXOthDEBREaeTP+5bZVzIZ/ieBayDr7fOUKwsKg=,0.2028,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
thgnyuw8qd1fH6zNqOLc6u5ITUEI0GcrmmsX47/QmVk=,0.1539,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
R7AEYvBWXW/5zxVY3fyDiTmGgFEzWhUlYnh8FbyU/ig=,0.182,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
B4t3Abpk4UfTqxGdLHheBuxOrGgh0hUxLL/2wH+BUuA=,0.1026,서비스 가입 기간(장기/단기) 특성,활동 및 참여,사용자 연령대 특성,사용자 프로필,50% 이하 청취 비중 높음,활동 및 참여
4fmiIwCUm5rwpahIU2DAwVlzGH/8tqnuOWfnD1xkKL0=,0.1394,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
DEbzYI5ks8MpIefCXdAXFjWWQWmFrJt2c7lT07vD2lI=,0.7386,자동 결제 해지 또는 미설정,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,98.5% 이하 청취 비중 높음,활동 및 참여
CcJfGLIb2FtQvlGilBii0WeMrt1jbx/yQDx3tcAolVE=,0.0987,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 청취 다양성 부족,콘텐츠 이용 습관,98.5% 이하 청취 비중 높음,활동 및 참여
0RoEbFdjdD1bOOnv8k+uIQH0WULAdzcRaw4Umy+2WaA=,0.1309,특정 가입 경로(플랫폼) 특성,사용자 프로필,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
g85O/i6eYIIlqzjKcRZQJN/ht9Dzfnl6uVjBuU6KUUA=,0.6655,자동 결제 해지 또는 미설정,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
6juoF6RRH5XsSaIOiMExqdXdIA1FDF2ZNPLcA2nH7nc=,0.6838,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필
oK2A0g4EAh0qvmUiH71XRLp1UPezHIGctHK4bTAifWE=,0.1055,결제 및 갱신 횟수 부족,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
D/Gc0+OmkY/CFdh1fhwcl2a3VxapNbK5+tvvsjlt4/E=,0.1365,특정 가입 경로(플랫폼) 특성,사용자 프로필,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
eZdGFJ59YG5e8heFsHFVqWrBgGmBV9iNH33ICMVmCgE=,0.2178,서비스 가입 기간(장기/단기) 특성,활동 및 참여,결제 및 갱신 횟수 부족,결제 및 구독,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
5YIu9eeMxF54qqJky/QPfdb64SRo2XaYsULr6SB+3QA=,0.8344,자동 결제 해지 또는 미설정,결제 및 구독,결제 플랜 기간 (단기 이용 등),결제 및 구독,50% 이하 청취 비중 높음,활동 및 참여
a8mVJk30ao1YB+3XWTS1PbHaVaDSkOt3dZHZNaq/d/w=,0.1553,특정 가입 경로(플랫폼) 특성,사용자 프로필,플랜 가격 관련 요인,결제 및 구독,전체 스트리밍 시간 부족,활동 및 참여
oYGlsrmqdDOer9tHgXPDNBybexqwBQfGC/hu0s2EJLg=,0.9722,직접적인 서비스 취소 요청 발생,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독
r1pACK6sbqK7d78UlL3O2max05ZaY9+v6opshpPCCn4=,0.1283,서비스 가입 기간(장기/단기) 특성,활동 및 참여,사용자 연령대 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
mqOEsB9qT+x64j8b0f5EYz/5Cf8F0NCF2UcwtDeTNGU=,0.9831,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독
x0O7SEp8hTcsmGLo9013rPE6OqHws+ZsnAqn5Xi9v7I=,0.1496,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
AAc5aRSCib5hp6AAkHnJtaQ+TLJBoI0KyOlwxiO9sRE=,0.9696,직접적인 서비스 취소 요청 발생,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
G4mQ62WYXmlI+3jXraEi3wSo6w/2qb31yGc/l7VAKHU=,0.1946,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필,50% 이하 청취 비중 높음,활동 및 참여
78Nma5MHFgdLiWM81QBrQ8E832MdF2P2aOS589BAOSU=,0.0839,98.5% 이하 청취 비중 높음,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
RAJxEbbLo6fa96IL1GxQ5Ybn+Si9KNWsW48zo8jw770=,0.1621,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
ygD3HhZ5/4vBNuI8jI154MKxm7eENQAyLe5VKr6b4Uc=,0.2474,실제 결제 금액 관련 특이점,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
dqJTxpbfRo6cPKuAsZaQ4/d6at6YjnIvtyMl5a+kAgI=,0.3195,결제 플랜 기간 (단기 이용 등),결제 및 구독,전체 스트리밍 시간 부족,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필
kU6MJOG0dyymaun6zB3t3R8jsDeYpqj0+smcmY8N8ww=,0.985,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독
2Q9AclLQfNbDBzNHsdbb+TA/JCYtQ041vwEtYjgpbjs=,0.1232,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,전체 스트리밍 시간 부족,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
/GwyazjbW8n0+uMmPsh2wKRRqS0OeHmqT3uAtQod2GA=,0.2239,결제 플랜 기간 (단기 이용 등),결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,플랜 가격 관련 요인,결제 및 구독
QlQTMZwH/JIlxq98bxjnFotM4UQ7w6B9/NV6hzbSbdw=,0.5784,자동 결제 해지 또는 미설정,결제 및 구독,서비스 가입 기간(장기/단기) 특성,활동 및 참여,25% 이하 청취 비중 높음,활동 및 참여
ADQfbxSE3rkiHyu9lUMOS1U4AMRJzSQzHjwFCMwBMoU=,0.1231,98.5% 이하 청취 비중 높음,활동 및 참여,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
f2ZlEFKu7r1Rc3JvBRxA6C0ZDCjZezlF2f2eKXkdMVQ=,0.1275,특정 가입 경로(플랫폼) 특성,사용자 프로필,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관,특정 결제 수단 이용 특성,결제 및 구독
5PtSyUH+cS3q3jKBjFHN3VUbjhclBslfWqhpY1/RjHY=,0.138,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
mFFeaSNcJxeNaGVengApNxWKz+ihVXw8o3YdjFY3oeA=,0.114,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,50% 이하 청취 비중 높음,활동 및 참여
7fs2uZxUNAh6xYGMren1goltthJxl9V0d6CGXFsbsgE=,0.1609,결제 및 갱신 횟수 부족,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,50% 이하 청취 비중 높음,활동 및 참여
pein6jybPQ1O1U9EUm79ChTkbSiE6nj2asPVyv6Xu1c=,0.6608,자동 결제 해지 또는 미설정,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독
OyvPH8vv5hZyLhqQk3rj4yoZA0jpxMRtdTgeK3HUaVc=,0.1639,서비스 가입 기간(장기/단기) 특성,활동 및 참여,플랜 가격 관련 요인,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
riKqGl6Dr1CYzoZVC37seJHDbJHz74WtlriJkZ9oos8=,0.4064,자동 결제 해지 또는 미설정,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,num_unq,기타
hVcP37SxbJOmuIwjj28spQGusZFvGFvu7trRoq8ocaM=,0.2106,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
KiMtkmdIusEcQ96yvXEHrLnWCH5WigrDbWps/UJLVxU=,0.1164,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
jCCFqeJVH9uRJhLyhtpRjphXS/xmVceEtrK/Fgh51P8=,0.1278,98.5% 이하 청취 비중 높음,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
e/VRVP1ZVBg12r9KLaYbbtWc/MjN9Idba2cRkUzU4aw=,0.1639,서비스 가입 기간(장기/단기) 특성,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여,전체 스트리밍 시간 부족,활동 및 참여
PkJkQesln7ouR/McRsnXhReimEB+UnH6CYz/28OL2Vc=,0.1932,서비스 가입 기간(장기/단기) 특성,활동 및 참여,75% 이하 청취 비중 높음,활동 및 참여,50% 이하 청취 비중 높음,활동 및 참여
A7sTBzhF2zaIelRCWavYdJ/+1+mE5NFULs1lLofli8g=,0.1407,50% 이하 청취 비중 높음,활동 및 참여,실제 결제 금액 관련 특이점,결제 및 구독,음악 완청 비율 저조 (관심도 하락),콘텐츠 이용 습관
ORrGAabKvkk50dIh1VhaD37Y1KedZQ73qTjL+EtQGiM=,0.4762,자동 결제 해지 또는 미설정,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
6/xCoo3LqNl2SqNzqy4yw4UMtE5l23w/bguCcELszN8=,0.2108,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
2Vh4THLwzioc1GwzpaaQgLuNk8SeNMGXeyGIUfilLXE=,0.1024,서비스 가입 기간(장기/단기) 특성,활동 및 참여,음악 청취 다양성 부족,콘텐츠 이용 습관,25% 이하 청취 비중 높음,활동 및 참여
xTXA7b8I6mehMr7G7iuJV1gtK2FdKXNxpcFMkyddPDA=,0.1495,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
+LxSLng6mKr+mMR6g5+zkAxAt+7zagEXXsj7Z/fyBOk=,0.1566,결제 및 갱신 횟수 부족,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독
348vihPzY++rEmLdJs6nPNmKCOKWIZq8UKCrLFDrs+0=,0.0239,50% 이하 청취 비중 높음,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,음악 청취 다양성 부족,콘텐츠 이용 습관
W9tc/SIlMBWP/pvujKPOeaWl01n9ymRtGbeLJziv138=,0.1458,서비스 가입 기간(장기/단기) 특성,활동 및 참여,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
UJtkZPd7HQl56pRNTF6S54ktasucbCI+jABl5MdI30I=,0.9817,자동 결제 해지 또는 미설정,결제 및 구독,결제 및 갱신 횟수 부족,결제 및 구독,실제 결제 금액 관련 특이점,결제 및 구독
efVAOXEYVWo/lTPmBYAQW3TqyMoPjTkD9++72W0Il5Y=,0.9748,직접적인 서비스 취소 요청 발생,결제 및 구독,지역적 인구 통계 특성,사용자 프로필,결제 및 갱신 횟수 부족,결제 및 구독
7uFD1XPF7NO4JQGOpam4NdUGqcmhiropxYMtjwEqixk=,0.1084,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
7sndp7VottVjQk/fc1yP4/SS1kc/j2JUpmnm+2HM+Bg=,0.1438,결제 및 갱신 횟수 부족,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독,특정 가입 경로(플랫폼) 특성,사용자 프로필
iq4RxXCK1jKQW2520cuBgfmfU/SitB3qDOMiT9+pbp8=,0.1268,특정 가입 경로(플랫폼) 특성,사용자 프로필,특정 결제 수단 이용 특성,결제 및 구독,특정 결제 수단 이용 특성,결제 및 구독
OSbfEV60E5GatQzc0iJSaDO6CPGPFzGsRL8iZk5mxXw=,0.545,자동 결제 해지 또는 미설정,결제 및 구독,25% 이하 청취 비중 높음,활동 및 참여,num_unq,기타
