msno,is_churn
bSWjbd1DYHYHbME44H/MU3aZcjcL2cSH9zOmBsGGI3k=,0
KJPEnA1cMlfakv+KQWUQmnzysFdMqbm6au4Fk40w05A=,1
1ZuY5OPi9bBDpxMBkWOYZ9lSDozhwSflj43ihUuIwT8=,1
wGZ+rL3p/iJAVpM4SRPtwg1fsqasGgziHCawOaJgFpw=,0
ippAe/Z9rfV58UvjaLOgX2HOkIaFOVs8MaqL/3xO0A4=,0
6VJrsbFjgGUwOy2pSpnkbFDTv8r3z2HMjFmMcUW3pPo=,0
Q36xbSLTH42qcSkcE9nSr8S/aIlPQlQ8n9elqUdL2CM=,0
FhR1c9/tpo7doOcWHLYR4NSZACajoj99nGnYkaheSyA=,0
Q3Ffp5YnIdzDxwwuB755t9NaY7X4qjJnf7GZd6OLaQI=,0
4xbLADdjRYG9wRwgtBs/od1b7UqnBIVJwOnu9LRFW7c=,0
Gcay4bNytCMUoH7rQSHSRSVorlhrP67tlsGybvyocLw=,1
nUxr/qGwl/v5pbWXnW4ft3fnkulHCVUnpSgS8BtZ9Xw=,0
59Ri6XMZ6tCdWJjIibyNA9aI3WqcD8T3s0F4SAFU5Xc=,0
dJCO/PN3TQLnIRiC5zZrMiCp0QQqlNJZo+EfF4lV/vA=,0
z69hlix9acuALC+qNLInG/Gnlqs7N3W4lOYB4siUNV8=,0
oVNixr8OAgDrkv61kuM3F7sw9eor6H0QaL6PuKfGUN0=,0
1XoMJqweLbA5yS8AWxCyj5uZZ//PfHSoo1xnCNH7t6U=,0
v236jsO/s+/zDS61RkBClmEdyZ55Wgwg23ZxUDK/9Dc=,0
xiGSQnfubTGgYIZIMUbimMD3G601jKcsy59Pp+l/bBw=,0
G0aYcf98gW9zA14Sz2+kmfYZwTW8HAJWUfCQ2TuIbo4=,1
4Y92IPIs9n4jGjI6g0R/IWVxX4Sl6O5cdxfZNNI8kCk=,0
aOqmoq+Z3CXBkkhApNEV1cL16qFb5zAZsbutyW5utq0=,0
3I4HM42OTVeRE+dVgKnZaWho90mF3f3Dj78mP+JUMME=,1
fwqq0pbdug83BCf4CSHVYHFnWJYwZLPopC5Nvam9Ieg=,0
P4qhS0algW7k6F3QDiNCQ4/qM7ZhMv/dHveY7m+lfIE=,0
k+uEpPAfOSBpze7A0B4i+JCXpk1D9m83XrH346Ie0S8=,0
lyid/Ta9jKGSk0uingdm3WhlSu6kNoJXs5pv8zbUF+M=,1
7NEgiPf8G54XHjeNhUaKD/jxCf9bM7AuWppdHxivSK0=,0
eKd9y+XsmzeHPl6CS8dVwHdSoyYotCllX061YeopA1w=,1
NX+oG2B1ptUx7JJT88yJ3xEHyrgF170Nl60PteaTaGs=,0
bHVt2Ax2B+QABwP6XbFrhTwdPM1XYgEeY1zpc4GS+YU=,0
vpBqzxd652MLMEP2Vk2LiG/WTpBy9lUpBgzcHsZe7vs=,0
J18fEZA0QZlhiM5ZGwu/TyRGEMCz8pGMGUrXGIxZteI=,1
NWHdGXFzDnrzm9SwAlyE29yrl9y8GumZ7kj4kA5L7c4=,0
cCDzjnt/6L6UQzRkCRqPqTgq+nKlVAEQOWlH9q4H2B4=,0
wlo0V8kULWcLgIO/m8stzdkHo4sUihohEIn4yEsmjgs=,1
zRUUSBN5Q/UdAr3G+PitBrFiUIBQOGvED6Lxt0jTS/k=,0
ZhvOBSo/B7b9+2lk45ldI44bHo7YCVuD65bAr0m+z3Q=,1
Ivqi06jQWH+e4xkh9JnPPH8a0cCTk7rBtlUEMT2/u8E=,0
1pcmvMdgzjqQiu5b/NR5mm4cSSfk261y7a7fRALXnj8=,0
AgO4W7ekajEopKNyKvtMU8ax1rWGWAQobFMB0HUmPmY=,0
aMTCcyxhAiky60+gP29MZGT91/MaWjnYWaIo+j+ngk0=,0
kv14vNw21p5vpZx1TNcDMZTDOaA0UuWKOuM7vNnqFMo=,0
tGbFdiR8STpFdrQYaQE2ajVqT5T/SijTNnnC9znnuTM=,1
PDqZe/J9hECItD69jZyLKu4QWV+acQXCNqhbqKf7hxA=,0
+xixsy3uy+djLakQZeo1VIMqYHGSb8nr+WkcjUyCFZY=,0
YtmoG0ZTZ8eCc7ASae+eIrSR53UxZqzMLPOCcSbTl3g=,0
AkjVSwOKfwhYTln60MCqmkxs9WrgxTVMh1pR3wBpKLk=,0
gAyih/MP5hBdct+L3uPuvXPI4HvjQ6SGPK9CRw3Glw8=,0
ujJujTy5EQGjECTjxtqT2EsDPcCdQFhvS8c3e0iHKHg=,0
3SeLvEqaruv1kOQ2qnYgMNk0/A1YArtqcYrk6kfn0I8=,1
ctiUyUamiQ2hz93NDatDJhi+UHMuHezIDzi7jECpdN0=,0
0lU6za14KJnj/uKSHPTLBZiZmgLjbzyrA2VpbS6fD60=,0
MUp2JkXq9D/QwnbohsJuN1269Ika0dKGDZQqk6PwYoA=,0
5jhbSAe4L/FSET345G40k3RHSNddVbgzFjNvk67Lpc0=,0
QkRxnXJTajkPsds8l0DGpxYD/38RsH06U2avCKxechI=,0
fdaiCPvOw195w19YZBmnqpEKi/H6iH4ZZKW5Ye8q2rw=,0
9vfTUsXLke0kaeIZjMiVKP+NloLv0K97xJz0Ee57eY8=,0
2bbCFFs2+XpchLCjwY5bOS9MWvpKnFZ8/mEnDpvc8pw=,0
J5jaitNjbKlH+QXPn74kllfGiwV8JoFhq2cZuh4hCxY=,0
6lEbnVGXiHOJOTyJ86QRX1G0VRBs7Bw29zve4ljBQ1E=,0
T6rIShwv/NG1nEBnDmOAcwvUF3nbn5UVf2IJlT7NEYM=,0
06eltyi2paB756YrHi4lS+It37wG0VqUEHdsXH8m7Ac=,0
J/Q/w5kM7Z+Dne/ccJwJK7Q+TKP7DUCmJaUoYCvGebM=,0
IqYmAjWqZ8YNRCR11kMH6NeympFJtEy4cPqn4kFJgXM=,0
GN7FUO263tJe70jKJepDwYEu3FvP57FJnMHz6tmxI+Y=,0
jOrv42E9D5jnopDLWiYcpntMTot6Bs2ZlNr2+KkSniw=,1
3sh36IFxIpJk5H/SoAWa6OGlef5pK11CTkX2KilvI2U=,0
Qy5Vw8i+X2WgZ430f27tIwKtPyQpwAUmRJe6i5b0OiY=,0
wW+NYgPUlz0oOXo8fpg4nsqi23/YYHFlBPbYkybTFlA=,0
A0+Gy+nE1OYWKwNcd/tMGTGJd4aNOtPX6U7rpfcqONs=,1
cZqGneLhxsVXaQhRj2QYgdjdC3NoSo21+L0fV1VykHs=,0
6fxNsUyuwsIb5BLfVzNEVImQh1l4yvdflN5dXqis44Q=,0
bdSw9/tAFKN64Pwfs8Yhtt/S88jaTVq+/Tl0Qm2kLJU=,0
iHtIy4R+53jeKZmcdFTuYa2iYul/ZvI3U/eyIuxXJQw=,0
6+eoxHWF6GgAZ6TcQB/DSJgZeKuJjh3Vr01KGFg7KGk=,0
hjgLtO1SGV/RqMtB338XBPQhjIgz/Yf76SnXfqJiQ1A=,0
SHvUZW5uCBmY2k30arlIJ/TjblmzUfvpqFkaoHvVyhU=,0
F8pFgJgFlcdEV1RHuIEEV3usWQLxbEasVll1lV0+J2A=,0
ch3iUHgGDLCOXeMDkte4fwbZvlXict8TUyhJiUExoW0=,0
j0h3Q71cTd+3eCUAwiCCt5jb9nCwy9QcZ2wNISnQFJs=,1
zOn2L/UQO0Ts/HtwfyGGvve4cZcFn5yUIUpXclEqzSQ=,1
/rE0i7EYzO2lwErDQ8ivbaWums8BOnXUF8/aX1zH5JU=,0
xihzYXatR18m92johf70kKsNUASgJVNpPRM1GWOfTkA=,1
2zxA3ocoTSDK8MWSPTTg9Ja0fVh175fnXyH/hiQZN0E=,0
s7Cy4d9S0Y3E3Mn8UYBRRS1jezwVwvc9mJ5EOcPfWJA=,0
cSjUUR9myTMuKUBL1SaibzjkdXxgjOCT9pxUb+7FfVo=,0
DXhE4r8H6PLyGNSRA5YI1bujZ/LYVljMSIiqUqyRBqs=,0
ep40FhBr0suZVKSVpFu0Vf8XTLIjNqMxTD2Fgh1qGFA=,0
cgMY5nM/uLhSfVpC4vnFAmGq5l8IZnYCU1DnXgpm+Xs=,0
gpYB0Zb/SbZ57BHRCVWDCX8LvOTd9XQVlaewdjaVmmw=,0
GNpGRLYKicKIWe3ptei/OrNEy58qOo7M0ZchEA5R4vU=,0
msjUaBG5Gb+SA3Tlx2pZa5sSq5Wn9LpmNPTL1HhBWnQ=,0
e203NVZ7FSjyClA9lUKVh7vJU+pjfz5Q+xQbjoI2Cdk=,1
LVjXHuLxDS067+Y8e4Xzo/wRBz+UOO4P4ev2tc1Ef8g=,0
uDznp3WusYLpr0AKgGa2gBKsivjz93DXng/B9+yn/Bs=,0
CHv6S24G1LyovYI0HoU84d/VVsPTmhM1N+QmfHACKZ4=,0
I0eDoSGYY5bBzB2TXvXBwfLgzkcWYM0GtpBGyZv0eH0=,0
TffEUKo3C6DUHy153jmuRuhIe7pu9zq/WLZwOiPqsH0=,0
J9S63sP5E4uguGEclOxFWN4xt/9O1m/IsXxn/9iqf/s=,0
IEcLP3SV/IbjY4FMIC+gBpMGtbVxyuq11JD9eNDCSD8=,0
K9UnAeM8JOwhrBJO+sDvEvET40J+qSkWMfRgTEnkD6c=,0
q0/EotmH5b6d9z083/8EKskoUc5g3mQHdl9pzBHF1TE=,0
459IMkHQxCUTuxuLs0/shzpQvlrMvHTDISlfXbveAnk=,0
tYq2x77AvtuTwgsPtSZz2DS1ckDZwacUq/D2ZEYSAYk=,0
WXLrR01ivoU2YFcyPgGnzqdPpVLW6qlZtqe6rl5xnWA=,0
uWxmVfSnVZYO+N/b74nZqAgfsIAZmOEkx78yqRR9yiI=,0
PtyZ/JFrNUSULroMxWUyA/ScmlE86fj710aU6YhrKH4=,0
GGUri15orvXtzuy+IOpdAaeWZI3exspHPBkjq0hKfPE=,0
1Qx5mALoRRubnkcrLMCajL8SyvUQlNsaJgsaosavf8E=,0
noCP1oF3S4kVIfJ8oNrVdgsB4qwg9wsAM2QQTZF6LL0=,0
rc5MK0s4wIcZuRFV8cFn9UiHhBUjPxM8lFEd0PYvNs0=,0
S/+wosJ9OMB9En4bR10jPso6D2+wENGaeLtvjG6Z56o=,0
N7sPdcXyn7ptzRP+2JTMQtP6yJ9SqYGg3v5fzXmhDyI=,0
3L2tSuskxNj4bgYSSmRO4lAxkywoqno9Ned1NfQszYw=,0
s3YaUfBlrN5aChdZ1n5Gr0QoSeDvfnxIGB6cuYhOjfo=,0
65J7TTPQhT1qxh/u/fnuoOlP5+lGc011q0Td/5BuwDo=,0
tGEQ8Z2Ur56IrZUGtGk36QM3qe7A3vZ7xpKRyyV88HI=,1
4F0Hz9iWtA+URNxw5N8Cl2jlMH0D0/2QcDkTSeh1590=,1
3KKsLCOh1y7TyRfD+HLVYI07EqS9RzcOTzH/QJslACQ=,1
LugZgcgeHSQSDVA5+zUKq7ab/2beXldF76V2aZyx+nI=,0
0FEfK2u4B3MBG2RByRVyjfz0TzHvcP6yKuejXtCEKPo=,0
3PnEjpUYi8QJQbidEkPRaUUnlsXyvhhN6qNduQn++0Q=,0
0VBtssvu39Bo0brp9lyZh4GdVfsvC98S9s4WPSLV8Ow=,1
6S3Pp4V/zPd0EiEwtKKcqJLn6tmTNmVu6aSgEQOo9Ok=,0
SizXMOtt+G3IUKDL4sB6WOCNXGN6LS3tm4Do6GaeHFU=,0
6Q7HEAKYH27qRElXCnS1vNGDzpuMYu6o7puF/czAYLs=,1
bvuibP85Vp0Go5eZhPTJ/2kHJTc/X+ggC+WqaSlfH3c=,0
U3H1xKOKzUq7fELr+VAMsa1TorzIF0cMYrnJNmNQbtU=,0
uXAMtMdqaUc5fsFeX8n5p9YQtHc1dUQFXKBsjPEo5XA=,1
VTeWT/JdhPthxUopu/wpV5zgCweYqObyveiNYxiaH6U=,0
Trp/KbLwNn1fI5uCjH0j3S6X+DQvjtAEnt0e32PrPDw=,0
6lodsgiFq63R3xpjsASiqNZrH9ZXCq7eJE47v1aV6R4=,1
vqXBXUh4/Cv9HJ2YzIYtX8nGL1NubSR9fmrNGdCIPLs=,0
gP0dbyMexGUG0naljsLgloIc34PQbAUVyFqhCpbGHvQ=,0
bfYDwUpLJd+nPOQaRTJ11zoPAeHQhFJrIHrNFvjBHpY=,0
TsZXl5J7vRYouSM86S2XOFyx5Ct9m38IaGmZHSiuIN4=,0
1GsuLjpZz1EqCx+AFJO2PzE8JzTIeu3z2CHfQTd6gwY=,0
1MW6DB/FMTglzYO8xYdlXvPRVNFwHogDf2JKYgE0fqI=,0
yfyTK6xq3lpyQAaBJUPm5fj7edLzJ8hxlR84HYd/PLE=,0
GiwOY8l/lt/hovRLP3bbB/J1JSDUUvA6MwTbYTfnl9U=,0
1Mk+vQ+Aondd6caqTDl1gtDhvEK/k98fS/xPhqefvGo=,0
tcUw5oYzVGA4I1clWNSykjhF0EgfPduYLExMVm3eDr0=,0
L9ZlHWraBc0lJJ90GVhcZU14E+KMT14TYxMhXfp+exg=,0
9qOVQNlm01aAL/NeLnUFDvbYPUQC+QBf86xzVsKWoms=,0
w3OEFE5pn0nBLOJEYzjwvGwrLALOVxga+PdgXUU1pMU=,0
m+N3kCvh7REueadOjDldJFd9dyxHhFxNGj7tUfSaBQI=,0
4znNEEELNeUPQTAv+ahudz/Go8CELs6v2ZsXi5aaKI8=,0
NKFaB4Pqa7/T/GMHT7HLd06Us9cKfNtq997yC7it/VU=,0
oeCeM5j50ALNRB8bR08p0q9aFQydZ2kp6p+NmgIbtvI=,1
VPCZN0IzQ5eViYmJxkJJArHzhuZ6jkb8Za6CRtnShP4=,0
dzY24emY7DX/ex5WY/U/zmJSu57dYsNAPLtdu7qtpiA=,0
5WXmAWtCeGQGlDkdYd3Tam9jFaqfyLprLZq8KOFNndI=,0
i3TB9Wk/GcDMvQKOFfbyYi7+uKjU2mvlZNEBUHNtQqA=,0
zRfxG/hOjJACsSSaHbWwdpinS6IMHMaBFgh/r+ljdGE=,0
tkH5pVhIfQGw+/dhn122W58o8Pcp4X/AGmICslTyOkY=,1
I0/ebK0nIlkJl5LFsc87GbwYrRn82Saf1XdkyZ1N+GY=,0
QWXWohwP2Gy6ki7HvXK5P9ks0GnDY07qTfBKvqLJE/c=,0
pSV/OUXlqLq3yWkGszewrRpuXnvBOUkodR7O92x8QCE=,0
Wk5v42pN1pdjz4fS30+rjmbx9RdmcxvK3Nn7PXOqf7w=,0
Uw9tfTq2aTyjgwnMlWfU8qqRqso7PIwsFMYnYiftBew=,1
mRa7WWhANX9Qmuw64WwGZyWN8aYkWw0aEgSY+w9+BZA=,0
jawLaxut2nueQc+fyUd/eD+6VrsWSuq/AxnMuejwgKw=,0
FxX8qvZbZ0GsoUk7+XoF02mo7oM5830W4dW54maoeOY=,0
gP8mq4e0M7XO8NhpR3Z73rHJmo/GrP77mEUuFza+VYo=,1
rt+nbbdZ7SbYwKYQbZtzauS3P3jsKVpBEBP+36tl0Yg=,0
WZ9aXU+cnVpoENoHeGU+TRcOKMS701W4HGr839o2zXw=,1
kg+1e4kLoAEAmAnO1ivayz/BSitemxigUDCFAQIS/9I=,0
6PbjTf6qdVeYLFrhKhmTM97PVd5u2b1uSCw0Po8GncU=,0
XYhnsYGXZdj7q6xBJAELU6hTt5B+/q6Ybv0z1GrQjeA=,0
bt7XS3pU/1Ue/eukYOKfX98Y+s8zex/cYg1gNOaJBLA=,0
G/oAghmHS0PFskwNTadhd6U7eNYHuJoOZPDP1O4uQAM=,0
fNS8w6IPA4tIl3IL1Ttfobt3fgh6Zax84WShCxteOZw=,0
J5SH6kIE1yU15prhN4OEVrpI8v4EsY9BicRxyvCPfz8=,0
YWIdtGFtdI0/NNs9BhyzF5Kt6zjIo+FcCcJrROZO/NE=,0
IyBcwXXxzC2Rld7jORebk/rpHwSMQeFRukuQZSH4P+Q=,0
kE58QUWoqLYxLa/rFOnDKjkyL0CgG73Pf6dWEfaPvqQ=,0
xKbfHlSn53S75f4RKb2BRH7Sg+6AuIXtrVP0QJfg7Yw=,0
vgIoyCZ7BxImJ96VoDxM5+kPeWbB92o9Z7mD7MtESmI=,0
DpJWo0eGEQTqnpqR9X9PZQMxNRPwMp6A2FUf+593+qU=,0
S72AyMrCGAx+YtwOIKHEKevKzLuuWnGv7IXHGJrAA84=,1
gAYAmeTXiKR9vTXDGrCQme5ICScWgP4eLis8m85rze4=,0
xtngcZ4VxmV4Di4kyZBUZ93mipwgTdx/tnsWxv5P638=,0
nnjCsbzKzQKEcv9sd1rVwyELvFvllbpwWoYN3oKTTYg=,0
FMOdfz8ELJRAO4kwDluaEGKKHeaam5lCSp0t4dedjX8=,0
1z/2mUPfVnLQqPqzQK0iHsiJgkSB0hfGJAEIiPgktzY=,0
fB9MyB95I6VYYJZSh465maVrxQFjk4pUy2L4MnciV8w=,0
mfl5uBkTcCE8VxlDtoQr91YAF5DIjDGXTQK8q4+agyI=,0
7PrdtlLycEKVi+xCWQhxcNmBOjRkJWm5V3lnUndZSp0=,0
myExznHuBUyqfm8wndjwsUPAl4fJJf2XhVCK2uXKD+k=,0
curbPLEt86EnZtc4Qm8a9CfZdjk3cprC4XU1fGunors=,0
B5WhuAw0qN3VDIDPlEjxpm8hhZm7c/0ZtozsOiT156Y=,0
XUWgaFh0xvcWHUx/JWvBQ6x39N3OW+TRfi4uHC6Z98k=,1
mN4UpAJ6axssjQlMW4fEiBhUA9Jg3MZv7LQNENVceQw=,0
cb1qs1H1tCXT8KB1zv1fCZXyHTwYhcntEluQV2wE7OY=,0
MN/4eTO4g3o03+MJ2s0OBQ0iqhNKn4VzY2228vgl98M=,0
W98d0Wpf/XwS45t7Qq08rKBer59ZDUK1zGq+VgzUeGI=,0
iljujlKFMVO3zMC0tkWyxDDMhRiXBZXvIvaO5KhHyAY=,0
zcYGn03tuKryP4u4c8H1hqudJWzmD4rFbYsUzCVbuh8=,1
ii+oCemYW06CRVxKEZKEMsyrKHqurV529pzbqHlckYs=,0
THc/9h7kZlbjpU6OtrvB+Zk8uEd/K1V52szfA5jSroY=,0
pLQXgwumDp3rfemIntyBfdKaAH49I+ni5++dox2n0Ho=,0
9/OxmiKIceqgdxX1VOFqIuu256St/oZdUx41qIieNI4=,0
65EgvFvQ6pYbcFQu5ikOK4UbFinf+brMpNgtiGKYFMs=,0
k11nOU2w5FqkiwFflPyftVwojlHN04hq0i2P6PM3iR0=,0
QW4HV+tYqgLA0NV3fzDn6YnzQmv8+Ug9qK7UO1Q/O0g=,0
0NrSbYkS+WWG4r+bcsTnumMFterTDnjJyDqPFRMrSr8=,0
e04Qk5Yqts6Hqvq8YvP4L03D0j11Mc3/ZK/KpuZJWzw=,0
cu663LGtO7GZQBKGStLlhW4cst2/P/qNTJCbesrBpK4=,1
vXogeBljwOuyVf01apvOWTppl+W3cvDPHHLs3j1MWAM=,0
CCmLjYXIlNhskSLLvwx+VzOZK5bZo0O1P+gyjvwfxo0=,1
ScqZshupJA8KTEk3ujJnglFSLaK8aGJ8vHr4XXrcJBE=,1
P6AAC/Kxr8cTovL6rhNc2RWq/SjAGtwNrSOLBTO0Xbw=,0
e1S3u0lc15RWV+5xVhuWEm/bfPFlAO+FiUIc73+NDp8=,0
+qJVVyNhdo8oIYCfApjHsw9ejFyA47pw5KcVyWyElZU=,0
W+tYeMOQzTBeKsB4tZffZa6WPYOdJ9VbKIlFTsqQXpc=,0
uA8HaVDbomXP//59QQQziU85yCcnxpsmo1805oOh+hc=,0
7obzLXD+9Io0JarzCTcX0HvO9T6T3P1xR/SU+I771Fs=,0
A29Am/uxyIwfbxdF3t2TcyomFvd7jAJCIOlWGeRufig=,0
y7qBqb+zKQAvVXJee7mg+S0hioFTVK3Zhc/f+ozf9pU=,0
x//kkJbFxWpnR6DryuubboVqh2wBVL8MSEwvNaNe1oo=,0
g2ow4+ypz5PZMD96OGj9xnNh5p2bKT4IzmOWbcVkGJc=,0
bVF7/M6u3IaoHT1b+SJvZHpg/guia4FlOfFIcPm2kWE=,1
hjFgvo+GjqP7RjCLmZV6XzkVhK6nVFX6SEODOXLb6Xg=,0
6357eolVxbyDrJ0879/83pE79s0gJxxyqsmO7tskDWQ=,0
b2WnvQ4D45BeSYLXcFf7VIy8n3NNNPba8+T2cQ/V82o=,1
8TvFW6UQFKhLKt7hL7WxNlC3lGp4Zc1oCGJe+EsTpfY=,0
ox8UOZnl/Tqpv245MLy6AlBqwCtlpWc18qefZEhtAzQ=,0
OO/bLxxvuh7RvpFqyrcorT2AOwvmLYw75xvP4DuQcag=,0
MfIHmDZQaCepekyrksmxEdcUh3PczHqOJs10kcyLgh4=,0
+2L2PZ5C0Nd2Abz7rKEgOkQ+FNSZU/Iu7VCoobZIdVM=,0
v7SeuF1VqvJHVIUekHs0Rgn/rZcaQn7LPAeToR+qsEs=,0
ocGuYk/v5pOdnm5tjq5UFkIyn3XYUqpAK7TBxGnyxuE=,0
pHqPfHr1Wm2zm1oi6aINKA56V3NwxzsbI5dC+Ltclkg=,0
gG9Nz6Sv5dU0CqnjR59eqk4bcJ8LO7DTDAqTI6y67VE=,0
DU1UPzcQ7rTVtWqCK2tWCaF9XvvKWqeZEsxkGFcWqnk=,0
SVA25FV5rYfxc4ODTB2x8voipM6bXrt8XUqDI+oZByE=,0
01x8bqiHh6HDpiMqNw5N+nRlYEYgVJ0BFmaPCXJ2jFE=,0
xMDBwLWnKlnPYifDE63t51ecAuGFJnOEucSEKmUPaVM=,0
p47rApwCXmv0WtsOlo4z2Zfq+jPQaYn+JLhkXDKBHqI=,0
qZRSPJN5J9nDGSuCx5gYPskdI3H3xmvKAV/I6FZ3KAo=,0
Oc5NFUR2pzyP+g+V+yj/PTi22F7/L9Hyy0FBea66Jwk=,1
WMtKdUXxPtDmbsmJq86DEUu8/Wd8r1GljmOCrnPzNBk=,0
gwdi1HAyVtlXdmOkd9go9Xx+XyWKMv2rDnIRAH3LLjc=,0
xvE2W2+RFl3xk0K+hDCDlvBW7oduMG2qpd4d54kNs6Q=,0
Lg6GjbvTUxxl6lr4v/LmwrwyoSTfWW+s0JBl/zOkDw8=,0
DiOPnDh09YMZUWZWz362h9uVz99qss1sRC6QU6wU93w=,0
ZlxjV1eqQxin+xgBoTI0k+H4g+LDiWYXZZFTTCm0ZNc=,1
F0VI0x+yVgJwuMAFru/C8hWeE08dqyg/FZAObwgfOy0=,1
9GxRT6mSC2s/HONUlEAonCdQXKlMzVX6J93RIskvqos=,0
S0uvPM1sbfkv8bj7zU/xEIFZhq6ja6hCr7BtrWjZlyY=,0
IRv/c2KXgUZ/5OGkdtjp0SR8f1i+0690+W/vtb88od8=,0
SgM43mCnW7QxP8BWx+eydrxTRrpQvJ1gMvropoXlibQ=,0
zgH2/rMVGmiPl48U2YjInzcJDhVOoZsjFeCbEqBMctU=,0
KYjheOi5FynHdwawn5SRVc/ec6jodwtF7XLuR6lVn50=,1
JDG1JueDhDEZuWE7fo3yYmp+hj32XwVm0/2rUjIsins=,0
TmBgtxrIFo8kEuDO5GyV96NdV1QDYo4IFJ4LzD3yJSo=,0
Wv7ItmK7v4qLzP1Ppz3pPcKyu4j8bCYC9eR/MCxxnUY=,0
IcbCX4rxYbTMlN9uFhXnQd7SaukrdbWJPaETzkSM7cc=,0
Za2GqFNzr9xDs97kBnLRsmAUocJBWb9++O7Ym45FLgI=,0
yRI+kKTw3eTgLGjSzNZT8SA4Ya0fhIjxYxbYKd8zKcE=,0
Bs1Z/cZwaZQZyMhlteNdRPr3oYNgBXPGAzwBuQCkeXg=,0
FhgXOVkb7CCZaqJKuQ0RvEuR/o0Cv3/H3aDxDMegxiw=,0
eclmlbCZl6wp1RFuz9pGvLdKsFwe4kbpQo5MEWnfLmQ=,0
/fFpv85fnjcRoMOolSC5/eYzHZwWoOB49fBm5tVp3+o=,0
HjxllJQjTKvaB72v3u8zYRlN+Bxd8IqJWxH44q/W2sE=,0
6mwr1RswcD89U1fjzRU/qk0tAgUrc8RQXCtpClRji3s=,0
BFpyk5nllwCdbzVw9ryT71i8e8OfmIKSufZxxSusFcY=,1
e1m1/gs70bQqf95rzgqdRkDazdE0GF6dy9PNKuorT94=,0
DjvdEZf3nWupNm5++Jd8oB5wnShnM94HE+IQFKrQTHs=,1
ZMiXQxwJ66pQyTYYaKkxI86GBH1tLxeibj+Klxi/ZcI=,0
lgQSJg5nnWU6oBndevwBSWQcx6VzzMO362YGsWmfTFM=,0
P+dF446UvhI6JOTkweR0+RCzGipLU7G8HmAGG26Fsf8=,0
UHqzux51g7qDWgdJJMDdQJjphj9u9cDsZKQ1MqrWlaQ=,1
KcVqeY35gfludvqIu76UUiymFw1vqDd/Mgg7yc3BcK8=,0
ykQOtKCleEcOamvh9EsWlMumWB0/dwQW7KWVb/3LfEo=,0
FxJKgkxWeXrDMKrurtv3ZXBYn2p7LAvwTZNy4pO4o4w=,0
mG7IfcrZ9GuP+1Y4cm4yFQZtlsZBB4Lc9TPr4HLJzqI=,0
