msno,city,bd,gender,registered_via,registration_init_time
buaODlLF6Ii7dlYVCGU8r2hyhuVUmziDyA+Yvhp8fSg=,5,35,male,9,20060629
z0GVXHktZouvK84Hq9eKbv5ADb6VPa6QpSzuqGRDg7I=,13,35,male,4,20161114
WHFuXdMHvlpnTTYgXddpKT8/rzK9vPnpA54lMKReDAw=,21,30,male,7,20161212
ljQmzVWPPjCupRvA107VkGZkHJmEsZ+cdDQCz7wgOD8=,5,29,male,3,20161228
vlLbghMidYkc6t39rP5nKYLU+/hnrCZopsXI9DpiGEw=,5,33,female,9,20060220
oO8tl/jpPQKFvxjNZ/VMxaigWQ3SOvfaG/0rB3Vkf8Y=,14,25,male,7,20111126
H+BZOKGN7PcvFnZRITKO7CDfvrNhuN4s5kwJnXGKin4=,13,23,male,9,20111128
+iiI8xmCo/MZnN4zx6/9DUqDvp35pdegnXBobnq3Os0=,15,27,female,4,20161230
KgjMU60+F/ahiFQBuBcud0CbnHp4XBj8R2nrwHKtOz4=,5,15,female,3,20170108
0nGYT4XM+z/3rCPH0mDyBXQ0VR0ZG3Aai2adlagyo0o=,17,17,male,3,20130814
q1B3EZ4Pq9NE4798hhkpOu59NStddoQdBpGszAVFejc=,22,29,male,3,20161126
BZOlCeoenDA1sRnmFpj90IhDomgexKWEfGdCpnOjk0A=,5,24,male,3,20161127
AlA2Bm8ApDC1tU71yilkNepIiiKz+ahSxCZqpVLFxf8=,8,27,male,9,20061106
jh4I9Bm8f0fZ7o8786Mp7zeC5T3ZNNtiq1stLuId+N0=,22,27,female,3,20130121
P7opfuxVBgfbdJPy3/W0oA6yWqTFPqPFPQTB3rrjanA=,13,35,male,9,20130217
YPtdRJmMTlOwLpWtvEfQm4gUfG0PwooSYb/vdVq7dNE=,5,27,female,9,20130303
x//kkJbFxWpnR6DryuubboVqh2wBVL8MSEwvNaNe1oo=,13,33,male,9,20080201
CeZACxIpIAY0E6PG1NHYIThbnW1SEO9SsotpiT7Rjkw=,4,34,male,9,20170130
I0B/OpmYHOjDBxU3OE6xXblGHscuUnSATJWGNa3NL20=,5,19,female,4,20170131
yLmlNfRweUOrfcImXw9zBIZ48N+3vra2I6+952tPGoI=,5,19,female,7,20160825
tYM11d6hwsHDGywCgvFp4PCpb5z2ndl3siA0O+07oos=,3,24,female,9,20070915
t5myL4pkyhG5Ykilem6pecSnZCeb5Rv+VjxccUOI914=,14,29,male,9,20071110
sj/NW43JAD23+XECAbe8LRhsAbsanGdc99CTgJSngIA=,13,26,male,9,20090407
vFrPIPfVQHqYcPwjQEfOsQT+Q70cm3dKUhOsTH5auBA=,13,27,male,3,20150827
6I6UNXx8vqIIcwpQFukH9ov78Lf6xzDxzP9ahyqPXKc=,4,29,female,7,20110611
yrr30ebaPF9/ptGn5DsvSn5TcDhdAp9qdFXYRFvyNf4=,5,32,female,7,20140525
+n0Jvbe1pjqp4ScDYbI0puQLzRbNV0+1EwlH6TFENlU=,15,25,male,3,20140621
Ak+BGs+XHOnc9O1KPVItQzw+d1zP6wH7FCgQSZ7Zwho=,12,29,female,7,20161108
WZw2UxcjUi32i6EHKjx3OnGNBjuLHrVzcvSVcbEoVzg=,15,29,male,7,20111109
MQUkOsIGoKyl2PTLpjLDaG7HVKaQnWvEAHY6W0xbzWo=,13,30,male,9,20111201
TXSwE9TUJ9XHJOYCQgU44QY/l8D9BGEp5DQyDOgqVdc=,4,25,female,9,20110819
+oUBvPYY13RsAzrEGuWG1L9jqT9lgQmLpmhfoVkPTqU=,13,24,female,9,20070710
2ycemqUOY2AUWEjzYU5B+hxWizL2JuN7eEZwvB+F6VQ=,5,35,female,9,20071109
soSosnTro6mLtClBazoQGe+D5CZkeQp4mf9IKnLezvY=,14,34,male,9,20071228
cMH74IaHKHgkfG7d7Z9/pEKY1orvec/9gi3Ayu+VqpA=,5,47,male,9,20090410
caEawuibBmvg0uT/4EmT/shZNrTnhIez7v5+1AKDXb4=,4,30,female,9,20090519
ypZvZp3UiQ+Tp+e9ZRnQiK5LLQa06d8l2Qh6fvD6fT4=,14,34,female,9,20091108
jsQZbbtsYryIFhIAqA3L43VPauq8X3fyLD9i9ikezIk=,13,26,female,7,20170214
fp3Fkj+C5G2fY/0kX57RvRDBEcvXjgFUerpThZaiBSQ=,5,33,female,9,20060903
q04GBHZIPkvlmpJ4w8Anhkg23QeXxQvCWIpByOikltA=,13,27,female,9,20141117
8v9g31mGbPb92fIeS/JofwLC2ZOTcxJb6iaQcamIAFA=,13,23,male,9,20110824
aWQrhQA2P0sjRJ4WGRDVaqvCPiCSVu0wZFTWsVVs9tE=,22,39,female,7,20131011
jQ+U+kSk1F4VcoB94I4WTt3YT7htzmWwuR1ADj9huos=,13,22,male,3,20121127
xvgG01OXxYr2mRnn1wPTCJHKyAaK8013/1tuKRnTcbE=,20,22,female,9,20070618
+nxxQpnhJIjQRlafyApEbFkna3ocJziWUFI/oATu4ew=,13,29,female,9,20071114
1XwWrmsLIWsqk+xpETSHjRx/vkGuI20zYUDi8e5wJHE=,13,29,female,3,20120121
u6siA6XP/Yv//6VClW7nUKebKOvxjVwAD509RKy6DjQ=,9,27,male,7,20120217
PtaPXIugqY7LGoGiLjJ5oH7EogazeZZkrNH9PrDsl0Y=,13,29,female,3,20120428
VGLbkOLlY9n6oC1bUL+q3DzHNaGc+9snIwFfXPW6njA=,15,48,female,9,20150505
xxBrsjLpcGn80V+wDqe2oJVXWwVFfw/Xtp/TYAQzYug=,22,23,female,3,20150311
JexjV9hYpoCmp3PI/qqW4djZsBeXyKhBZi2QW2g7xRI=,13,21,male,7,20130223
sAkVtX8zWGpteh88Th+Pvd2sQSTcSId6Kc9Ll/ZVq2Y=,15,42,female,9,20080330
JStat3d8/QGMU6NHhoLpHOSl7JOCZvskjkcm4BwQwl8=,13,49,female,9,20080409
0QBt4uW5OYxCu9FIPCilNjoG1t1psligmFnpi05bIwo=,13,17,female,9,20080810
eJDt8rSsbE+1HPq/NWolm+PrllXDVVEa1fGY7foYFV8=,15,27,female,9,20080905
pZMvkZUovmMTRJ9tPq3XnewoUPkBkfzsBMrvG05xyvY=,13,27,male,9,20140826
RbwPByWCClSR621EXsHWdW+lqz+6BWZagViiwyec47Y=,1,24,male,7,20150202
0s5EmxLGKlSsuNg6cNJAJCYZK6gjGSqU1Gr0M2lM3No=,5,23,female,9,20111023
NlFlvD8s7ObqLsdSVZBb/0xunKWKnMn8dHXHOYuh4WE=,13,31,female,7,20110614
jKddCYoH75iSRYOtDueNi/+PU4v5QWLIqO54kGOa/pQ=,4,49,male,7,20110104
4PHxnmA675LHN3E3eAXaKYGAYy5n/d0xPVn5QGUKhFo=,15,28,male,7,20110205
3DQleetbVnq98HiEg8l/Z3eEAwEpi9KZ2l6wbBADWR8=,15,46,male,9,20060807
gmpbbFLk7MODC1D6LM4QlIgln2bcbQC2rNzn5WxzvyM=,22,24,male,9,20060902
uFbzWBlPEILsLZfMxHQbDlzjPz5TJYTRRgWstJ1kIwQ=,21,28,male,9,20060225
QPkfSGGDZdFk0Ap1yVzirpL+wsO/9ycYWUPy1mRXnbc=,10,39,female,9,20060406
iGgc4CJQ/2ASQXdxeXLGrIEz04b4QwBa3mC+wAt5wFk=,5,41,male,9,20111028
AAdZ0ePbRuoKyS0E/bmmoHPWvGBizHER80lrd/s8R/4=,4,30,female,9,20140730
EIMKRKLqh0GI9RWPjPjn5T8lXdmQI4yjWJ70Y1TRpJs=,13,23,male,9,20090416
2mrlL0nhMxmcdMTAH/NclPf40eT33wnKMsS+lRYH4FI=,22,25,male,9,20090427
tSCR+ofvf64Yt3a6C1da5iDOxMr3loc0g5EADs8dMkE=,13,35,female,9,20080117
RuDFymOlIHcMmGsqg1djFwpQpDI3SyaqaSpKl5V1eZ8=,4,22,male,9,20110501
zSqDvuXG1ug8OmNMzPZEiV40WloLKwXl/pVbx/Zv5/A=,15,22,male,7,20140223
KKAuIiz0PfekBzJQXn1hCSzOGseyjuxZKZ4iTB7yxNA=,18,23,male,7,20141025
Jr0YCF7K98vgrVV6saE6Y6OArvrPLimqPQIvn2cZACE=,14,36,female,7,20110104
OyoKFpmdXP/J8b4+0HDElcs8etUjbe2IUiJuwxAxVco=,4,32,male,7,20110127
69wA3WWt/OsQ5CLjjt5QC05dwC7eCw6Ud9MlG44PpSI=,22,38,female,9,20060716
KzdFJZHT1i0X1m+TSrLI6Vwl1/0EMWE7Mij9Vu4IvLg=,3,27,female,9,20061104
+FhRIh0eayQZbwCOAAZb8ZdlgoOFBaTJsogbBj1aFcE=,13,25,male,9,20140106
ByqPizelojl4/25+rAlvwOt3P04bTw/7TQBu/zxhIHo=,13,33,female,9,20060830
gpYB0Zb/SbZ57BHRCVWDCX8LvOTd9XQVlaewdjaVmmw=,4,22,male,7,20140123
vgk8rtkg7+jwbbuZQbwV7SoRnmHWiCLpW1UttF2dplE=,6,25,female,9,20100111
rA0WbbmzFFCMLLBxns5E4HdVltxq142uKrhmXswAmYk=,5,21,male,3,20170211
7VuPEeWi8Qz9oJLbOxuo1l7HsJmaW3VMYTYUj+r3TBs=,13,31,male,9,20060723
CQFoUKPJJyNcNodRiybOH3rHWmfRcKa0DYD5idBh6YE=,22,26,male,9,20060801
qTNdap6jMXtIue8mI0cmA2SYt9fS0WfTpTQWJnFrwSg=,13,28,female,9,20061204
JR3rl+PzenolVs4k52a3yXd4irc7JAp5ogsSr7uPomk=,11,25,female,9,20070102
WCE9Qsl4Z+sINcRUCBEOm2lUG21jvpBjKl0+NmY2Kdc=,13,26,female,9,20111122
K86Rl49m/bJ+IbqxHQUiNu+1J2SWhblHH+hOxgXMPEQ=,15,28,female,3,20140105
PDmcGkd1lBhSrjN1vshTkbdz5iD2uYbHGAZyja0U0Rs=,5,27,male,9,20080420
qcDJOeM6ySUCb+JyBAErKi/djikVEIdtsFu0uPJNNII=,4,26,female,9,20080501
FMOdfz8ELJRAO4kwDluaEGKKHeaam5lCSp0t4dedjX8=,5,46,male,9,20050307
bY74hSIe3D1Gzl8FwI9Ai7hznkohn01uFVRFdJsI1x8=,15,37,female,9,20100821
aymzUgK1hdeB4OJxkb6fkv7wOfNGDqimPaXdpvUsGJw=,5,53,male,7,20110125
52O0dgkU9owkcFmvSd6TkJJcL9UQEk3i9fLuoki3MXM=,15,24,female,4,20151010
iWv9OOirbTdWgUkcVIIHAHaYVV52XTvOw7Gof24D66k=,15,25,male,4,20151014
utnfrxCS7K0lbCg6bR+sSfR0izl0VXuo7BcmVAcfl+8=,22,31,male,7,20101110
f1Rgz8F9A3VSuUG+2gEyHKui5XSwDGDiQMJDiINTPD0=,16,70,female,9,20101128
RANQmUd2fCfpkxw7sHSQhlmlrJT7ndHNkY9nT4j1bSM=,13,18,male,4,20170211
U/tREHhbIFaVHCC1Ei17w+Qw3Wwvg39Z/3vGgx6WN6U=,22,26,female,7,20111224
0eayVyLaDXB7uqZhJjSXyP2yLSDCHrCzRdRFps8e/a8=,13,21,female,9,20111227
Q/RTbmCGxymyspzby3KlAjbJyQT+en4lTniExVYO+O0=,5,32,male,9,20070820
4jufX4wMkRMrkWLu2K8EiRd0/fMQUD1PLbnISk2NzQI=,22,28,male,9,20071014
+SnNP75UR7tcQN6022a73K3lEYOuC0d4C6SBhTb1CC4=,15,29,male,9,20071014
HUuZsR4VoqPTZrSYKB19WqUXoqrF/Mf1l+hwzWyxaqU=,22,23,female,9,20160225
+hHzrZTkI60WffnfDU49LC7WBkq1LljxcqmFO36aWns=,18,33,male,9,20090203
xhFSsuz8iF3x3FMIgVTOPPt+2ETcnT5m844dq7y81qo=,13,36,male,3,20140330
mvJuAGd/T2i/cbt1RMgvW+gXHCysM7cHWZWUMZQxY7c=,13,30,female,9,20091007
1Tg5i8MlWOQZcaAxdZrmM2fw1jVDyNm83EHU8RuCxAM=,13,37,male,9,20080331
BCZTsf7T6Sc8siwJD0cLDOZ/1EnrXQzu8rvsztW0LKg=,22,26,male,9,20080622
nmXBKYJ5l8TsBGIrEnqh5uQVQ1zyMvUbC02zvXzhfuw=,13,27,male,9,20060502
cMbLzEvH3d+2vPoTv+r9ddq2r1dAYZvMZG2cArdGLHs=,13,25,male,9,20060713
4mky0ZmtjGPQ4aKHobXjXfuvvgT40Oa4QUXKqw3ZI14=,5,24,female,9,20060923
VX0Qv6fF5hf2qMmRnp+1Jze2DuUjUt8d26BmiX6oTNM=,15,24,male,9,20061221
0y68g+QECB+R1BFEKTK1R1wRQLWMUHzb7su1Z3tjybM=,13,34,male,9,20070105
t0GVLP7+x8U3eZp7V689ETLCG5lOeW2gHdLavhULER4=,13,33,male,9,20070125
TTBvU64XhnMQ6ZU7iBmTnfFGQIqT2ywMI/nKyPV7tB4=,13,41,male,9,20070328
9/iqBW5o5vaYroxr5t65KcEZ4Cj590Bd5bunnyioJDg=,5,26,female,4,20151110
qxvOyqt7VOxqSrbw1v5PzwKMo7WXg+ivdzDzc9eQzAk=,4,27,male,7,20151117
bth5OkF1K4yorh/LXhPG9uXFKtxWnuVXcATRKEGq5zQ=,15,22,female,9,20080112
/E95ybQDmveyur8Ns7m9DSz+Vrd4K9fO1nNDRVZ04EA=,4,30,male,3,20130330
zq+9fOEVffpQPWIhGfnQFkoWIteH5o5xhqAOLIayQus=,7,34,male,9,20040328
feFWD5HStshSB52aRuForFKOPU6YORdbUmGn5xdxedQ=,13,36,male,9,20040811
7WETlUYtkRPUE0syHkyIn/+kL6fI3DYb6dMbsQ8ywCU=,4,32,female,9,20041121
dFyUm0x4NThEfaaSVjuHQJbSW9+oQ70Csyun6ZjRrSQ=,4,47,male,9,20120908
ncJFqfag27ScTn7DtjdKVLpf6j0aMrSUH+0sC2kdZ3k=,13,34,female,7,20100707
wjNxD4J0QVDGQlcYeuKUk+kFi+IVifCNNkqSd3VG4o0=,18,27,female,9,20100810
FRU03T6x5ppfHZkMEtbRr8oOGLhmp1KFmf0SM8h70uE=,8,17,male,3,20150304
WcF86fLoaKd7hJaYB0VbdUegW6HIyigvo8hqGFoHn9M=,13,30,male,9,20160106
EKLjSS1OS5nkrXYxAsauGnrrd+sNkA8we9L3Bn+YIFc=,22,39,female,9,20100806
yEzNqtc4TpcSa8JZfjIWEcMyewvjb69Us2SHUd1UoJU=,13,27,male,9,20101008
/Gl3PtqumUnsvhmg3uUAskGdXrys7312RxfoXQInfXM=,22,36,male,3,20140817
0saa4rIygkNVSfNxUai93q0RF/XkOt2QXxdefGwXYhg=,12,32,male,9,20040921
aSCMmJX/g7derS7qLK40oFpr1Fb6+KZ9KhzGDxnd0As=,13,20,male,9,20050508
LgqvWgPEIYqzIJ3dR3z0pu4WkijpIQl2PRAJIljXCmc=,13,35,female,9,20060531
u2HarnneUa9k9fcrofqpgaItt+x12/jyubJP0YcNOv0=,15,33,female,9,20060316
hO/S4jHiHns44kDAqEQkgMZU7YF5oO61tgKZvZR2FSQ=,13,28,female,3,20130812
Srk0oRvQd0dfbQofls1WKrwadG6yBEWlz1WMnUlA3Hk=,14,29,female,7,20140615
KKZyKdIVu+DCkseLfSlPsBX86bubXc+uZvkqMh8lcJc=,13,31,female,7,20101216
rX7oPUJMqa6IbnpmRrNBfCqGqPxICI5AMDwKhfRmqLM=,13,27,female,9,20110202
v+XdJCB5GI3htGP1xJGl+jVyRu6sZlD6BwcUc7gpMgs=,9,28,male,9,20131121
9hFlpqAWyM7U7Yg56D8gI/TE5bnOSM5gzrO/FXDPKYA=,12,21,male,9,20131215
F1wzL8fddbcILUWGLlM3SQ2mwiDfdfz8c81SiYBd8YA=,4,28,female,9,20110828
EWWe9IyQnqUVjduU5txlsThtdniBNpKJt9EsDdAEDBY=,12,30,male,9,20050815
wl3G0AklNkTQvIYeBgK0l8R2DRWgjiHyFPIGcYzLUNw=,15,28,male,7,20140712
JdXTTomc9nPq/Ve2ntoRreojUqFKK9uLCdbu4uRhFI4=,10,33,female,3,20140716
IHYWeSM8QG3sRjzA3ola2ZODUESY2lNG6bwg82hOVuE=,4,26,female,9,20070704
HPEYXGpATnr0GD0d+MqdVKYkcFg5tH2rytgb9LUbGWM=,8,38,female,9,20040726
T6rIShwv/NG1nEBnDmOAcwvUF3nbn5UVf2IJlT7NEYM=,13,43,male,9,20050114
yxon5unKI0L3UM6+SEjjC86OcODkEk8pYJvEYp/+lJc=,13,42,female,9,20050515
K37yqKJiVJAVFC5uM97r0JzDqBCx+Jdxnvdkx1qEqm4=,13,29,male,9,20050721
7Je89az7PiOeVTlYqklNuyXJ7owwTend6kgv5xxDqew=,13,27,female,9,20050803
SOhRyio//0pTZ+bmoz9e05En2BwKBnYjFre3H4CbU58=,5,33,male,9,20050903
mVnmXQ61BAkLUHNA6xvjQHVdbskCCUpdqZqCL3yRUlI=,13,25,female,9,20060902
XrPXM8gampiYoEicPR1r20/HT2jPFjYCkA/H2TNT6p4=,1,19,female,3,20140913
0LrpaZsxl70AIS00dtCiGreKtwrTllNO5MIqUjJzX9E=,1,25,male,7,20140916
DKWrmLgdyw6YTc2Gj9Z+RUJ0+gOYHv7C9XMtMRcyDbM=,5,37,male,9,20080218
qlJcQhNNCpXnI+B4/476tYL0tIik1biWnEPvA+LKiAA=,13,40,male,3,20131107
wh/ngLIQ+tgBQqSn1o9jNf6VgXWxC580mTCvHvnpcVc=,4,18,male,7,20131109
Bd77Wmyj4DT6qRVy9Rmnl8zHHYwckYr3Gxg/vlTM5Iw=,14,28,male,3,20140713
+C67RZaLdIdxx0cBNpuE9RUp//eZnWDPVp0woLmtwA8=,4,24,male,9,20130820
k883PaMjHFDttK3tjB5r6FZ1JDVxH/4yrw6Ms7MCRB8=,22,30,male,7,20130906
FX0JIuYw4gQEkVbhTwxSSO8Uk5jUh4UulgVLfZrj+HY=,13,30,male,9,20101031
bdKMn3QJFzTbU76sJORi6T0gtaA6SydjR4I70XyAHm8=,22,37,female,9,20050714
waWzDFVBe+TSWQXPlAEqmROUz1eAAEFjb5t2nuTGiFs=,14,27,male,3,20120114
7PSVa6etSEnDme9L4A8FIFderIEFbohd0AwWL/WFptA=,22,36,male,9,20080109
oxt5+wqjkoJzXJN00gc6YJTqysE4QH4xnwwTFReoDbo=,5,38,female,9,20111102
CImrfvvS3wkJtNdr8vXVvFAwSblbzSVFgcnx7FgTOMU=,13,23,male,4,20170112
sk+BOcEeawniyesRnHMRk778BZt/rHHgmo715EyKzms=,4,30,male,7,20121125
VrW8JTw4qxFADRHfGgkVdHc36+y3GoJVqe7YvJYMjL8=,5,23,male,7,20121226
24KkKEBYDd4K3gwaLCFG29AWJHSTivaa5DZhrEzh9Hg=,21,23,male,3,20120714
x2Voi/KrW5CbD6avs0GS3TnCWQCnpzVVhYbkX/XhG2M=,7,22,female,3,20120730
4vT8gP4jKLvDjCojUv7Le+meFXj7RVwlsAT5nstr7hI=,15,33,male,9,20120815
ztVPoSdq6TSpZ2Xdku4lsZx8fiKZ/1FjCF2G52KuLTs=,5,52,female,7,20111103
Vav2LhWfN8ybhhtIltHsBvuk0/ljFwO024K+AxRmwOY=,6,40,male,9,20111207
iXKhUXtpHB3nRrbDm56TQtOOJN00cn/oUHoaZ6Hf+3k=,22,32,female,9,20110920
kEpcLpqcxTPXlA7zBgVOAjaXqIGOcSKFqnk2EVe75SY=,13,23,male,7,20141104
T4xiukbN5iZHZc3B49FRlheTGvjdbVa3mEpwHltubLU=,21,20,male,3,20141115
jpzBoB5gMBkHalCSaM7VpgTKeO0Mzu1Ep4WgpHad3Rs=,13,32,female,3,20131231
QMqaFpnhQzBaWUcE6AIJwrc9FDeqxcdgoaqrv9/0p74=,15,19,male,3,20140130
y4SgezmD7lJCE5po/9zEe2fRIE1X07ywigo7QTpSWqQ=,7,27,female,9,20050812
tWZ0ExB9/6mWUmGR414nZRkG9WCN/etpltv1CUhFXyg=,13,30,male,9,20051030
M5T0PjPa0iD4W3eEA2i6uGyG4qKibzE73fFVq2tgDVo=,8,32,male,9,20060315
rDpTumFlFC0jBAp8a07M8AcwOxMWkMiuiA1vaQMJpEw=,4,23,male,7,20110702
9X+R1zADmdqQgSj9k64GZqwT58CRCCBNz25d8awONs0=,12,25,female,9,20110712
s/hlOjRFCU0J65+1B3GDRBPsDLJdhL8DShwRSgTz8Nw=,21,24,male,9,20110902
35Qyc2QZ5YfUpnBky+rfeqQktdUUe247LhFEzugIVfw=,22,27,male,9,20050520
1P109u3cfhRDUmEdedYf/ZZuCeyWCKIlWwwazQDTicU=,13,27,male,9,20051111
X7kYC5PEdgUTt9Jy6/jZJvgidiyRlD1phec6LbkEYGo=,13,18,female,7,20170102
xOE4ZhJ1FljkPT29IheSZv1g6Nas3Zn6S/X+5+bJEkg=,4,21,female,9,20150927
dmTDovGPDRKu05NXVlhxBXUaoE8cYO+tIxEZFFWxi/A=,5,22,female,9,20120123
g+beUwS6wZoLlH0htSdA234gBiADMLJC1QSowJPc9RQ=,13,23,male,9,20120216
3VtKNQxgnYNV2eZxgn1MrK7ayPfr3kFnVb8/rL+apuc=,6,33,female,9,20120216
6I9HxB9mobvuwhxWK/bHGh/2vhjuMdn3U7cbNFFcNC8=,5,29,male,9,20120405
OAkJF7RPTHazWAEvnueFn6lfO6ySzvtwV7h6OHfJDhA=,15,21,male,9,20110823
mueFd1hrrYcik5zjpuDj5wTbqutXipZ4Y+LYdAQmHoA=,12,25,male,9,20110909
