msno,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
6juoF6RRH5XsSaIOiMExqdXdIA1FDF2ZNPLcA2nH7nc=,777.0,109.0,40.0,40.0,853.0,1557.0,242694.487
oK2A0g4EAh0qvmUiH71XRLp1UPezHIGctHK4bTAifWE=,4020.0,795.0,533.0,468.0,3913.0,8948.0,1216078.643
D/Gc0+OmkY/CFdh1fhwcl2a3VxapNbK5+tvvsjlt4/E=,624.0,103.0,48.0,71.0,1236.0,1771.0,334645.993
eZdGFJ59YG5e8heFsHFVqWrBgGmBV9iNH33ICMVmCgE=,606.0,97.0,94.0,72.0,954.0,1332.0,283855.717
5YIu9eeMxF54qqJky/QPfdb64SRo2XaYsULr6SB+3QA=,2954.0,359.0,292.0,1013.0,14851.0,15931.0,3978142.571
a8mVJk30ao1YB+3XWTS1PbHaVaDSkOt3dZHZNaq/d/w=,739.0,182.0,143.0,123.0,7895.0,6929.0,2076859.782
oYGlsrmqdDOer9tHgXPDNBybexqwBQfGC/hu0s2EJLg=,410.0,113.0,84.0,84.0,961.0,1106.0,282361.269
r1pACK6sbqK7d78UlL3O2max05ZaY9+v6opshpPCCn4=,116.0,65.0,48.0,51.0,1333.0,1246.0,368531.605
mqOEsB9qT+x64j8b0f5EYz/5Cf8F0NCF2UcwtDeTNGU=,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x0O7SEp8hTcsmGLo9013rPE6OqHws+ZsnAqn5Xi9v7I=,96.0,14.0,15.0,19.0,410.0,349.0,111397.25200000001
AAc5aRSCib5hp6AAkHnJtaQ+TLJBoI0KyOlwxiO9sRE=,145.0,59.0,38.0,39.0,550.0,646.0,162190.539
G4mQ62WYXmlI+3jXraEi3wSo6w/2qb31yGc/l7VAKHU=,765.0,504.0,154.0,142.0,2778.0,3984.0,808614.793
78Nma5MHFgdLiWM81QBrQ8E832MdF2P2aOS589BAOSU=,70.0,15.0,14.0,8.0,1280.0,814.0,332316.85
RAJxEbbLo6fa96IL1GxQ5Ybn+Si9KNWsW48zo8jw770=,249.0,31.0,14.0,31.0,500.0,518.0,129559.061
ygD3HhZ5/4vBNuI8jI154MKxm7eENQAyLe5VKr6b4Uc=,119.0,52.0,20.0,26.0,235.0,407.0,70155.561
dqJTxpbfRo6cPKuAsZaQ4/d6at6YjnIvtyMl5a+kAgI=,285.0,115.0,92.0,97.0,1539.0,1736.0,425002.004
kU6MJOG0dyymaun6zB3t3R8jsDeYpqj0+smcmY8N8ww=,481.0,130.0,113.0,132.0,2397.0,2946.0,625209.741
2Q9AclLQfNbDBzNHsdbb+TA/JCYtQ041vwEtYjgpbjs=,432.0,141.0,129.0,197.0,8287.0,7235.0,2179197.129
/GwyazjbW8n0+uMmPsh2wKRRqS0OeHmqT3uAtQod2GA=,467.0,237.0,141.0,112.0,1418.0,1656.0,447687.63899999997
QlQTMZwH/JIlxq98bxjnFotM4UQ7w6B9/NV6hzbSbdw=,125.0,39.0,41.0,28.0,1624.0,1480.0,424943.826
ADQfbxSE3rkiHyu9lUMOS1U4AMRJzSQzHjwFCMwBMoU=,67.0,8.0,5.0,2.0,78.0,103.0,23623.663999999997
f2ZlEFKu7r1Rc3JvBRxA6C0ZDCjZezlF2f2eKXkdMVQ=,908.0,221.0,116.0,110.0,1430.0,2101.0,401269.788
5PtSyUH+cS3q3jKBjFHN3VUbjhclBslfWqhpY1/RjHY=,391.0,143.0,110.0,105.0,3750.0,3259.0,985325.993
mFFeaSNcJxeNaGVengApNxWKz+ihVXw8o3YdjFY3oeA=,1016.0,277.0,123.0,161.0,3236.0,3773.0,926803.007
7fs2uZxUNAh6xYGMren1goltthJxl9V0d6CGXFsbsgE=,1014.0,570.0,213.0,135.0,2121.0,3420.0,668167.356
pein6jybPQ1O1U9EUm79ChTkbSiE6nj2asPVyv6Xu1c=,409.0,231.0,117.0,295.0,1938.0,2229.0,643322.453
OyvPH8vv5hZyLhqQk3rj4yoZA0jpxMRtdTgeK3HUaVc=,543.0,143.0,109.0,121.0,1852.0,2171.0,509025.68700000003
riKqGl6Dr1CYzoZVC37seJHDbJHz74WtlriJkZ9oos8=,1259.0,244.0,124.0,142.0,846.0,1711.0,295970.724
hVcP37SxbJOmuIwjj28spQGusZFvGFvu7trRoq8ocaM=,362.0,120.0,150.0,83.0,1659.0,1664.0,435123.21
KiMtkmdIusEcQ96yvXEHrLnWCH5WigrDbWps/UJLVxU=,4294.0,688.0,436.0,907.0,5701.0,10867.0,1815534.498
jCCFqeJVH9uRJhLyhtpRjphXS/xmVceEtrK/Fgh51P8=,647.0,123.0,75.0,69.0,2283.0,2724.0,531130.028
e/VRVP1ZVBg12r9KLaYbbtWc/MjN9Idba2cRkUzU4aw=,918.0,367.0,148.0,115.0,6410.0,6167.0,1743425.401
PkJkQesln7ouR/McRsnXhReimEB+UnH6CYz/28OL2Vc=,2040.0,465.0,344.0,184.0,4063.0,4728.0,1103980.893
A7sTBzhF2zaIelRCWavYdJ/+1+mE5NFULs1lLofli8g=,1473.0,420.0,178.0,161.0,3141.0,3868.0,919164.898
ORrGAabKvkk50dIh1VhaD37Y1KedZQ73qTjL+EtQGiM=,1069.0,222.0,188.0,171.0,6033.0,4540.0,1708773.219
6/xCoo3LqNl2SqNzqy4yw4UMtE5l23w/bguCcELszN8=,618.0,221.0,115.0,131.0,10947.0,9821.0,2815078.894
2Vh4THLwzioc1GwzpaaQgLuNk8SeNMGXeyGIUfilLXE=,25.0,4.0,4.0,0.0,0.0,33.0,1190.451
xTXA7b8I6mehMr7G7iuJV1gtK2FdKXNxpcFMkyddPDA=,499.0,121.0,100.0,102.0,3675.0,3727.0,992323.95
+LxSLng6mKr+mMR6g5+zkAxAt+7zagEXXsj7Z/fyBOk=,110.0,36.0,30.0,24.0,468.0,268.0,130284.245
348vihPzY++rEmLdJs6nPNmKCOKWIZq8UKCrLFDrs+0=,702.0,394.0,144.0,88.0,499.0,1569.0,185932.706
W9tc/SIlMBWP/pvujKPOeaWl01n9ymRtGbeLJziv138=,624.0,202.0,184.0,203.0,2608.0,2664.0,722068.7609999999
UJtkZPd7HQl56pRNTF6S54ktasucbCI+jABl5MdI30I=,584.0,134.0,94.0,95.0,2766.0,3148.0,681650.82
efVAOXEYVWo/lTPmBYAQW3TqyMoPjTkD9++72W0Il5Y=,465.0,101.0,99.0,86.0,3575.0,2796.0,933337.154
7uFD1XPF7NO4JQGOpam4NdUGqcmhiropxYMtjwEqixk=,1061.0,174.0,143.0,338.0,1662.0,3055.0,534770.256
7sndp7VottVjQk/fc1yP4/SS1kc/j2JUpmnm+2HM+Bg=,1272.0,201.0,158.0,169.0,1194.0,1101.0,343568.109
iq4RxXCK1jKQW2520cuBgfmfU/SitB3qDOMiT9+pbp8=,264.0,119.0,115.0,143.0,1688.0,1685.0,434207.094
OSbfEV60E5GatQzc0iJSaDO6CPGPFzGsRL8iZk5mxXw=,382.0,145.0,107.0,66.0,18956.0,17103.0,4832488.36
wssWbyKJuPzP90QvtEfDeIsG7/W6pb3gU4MBmu0ylA4=,1778.0,470.0,395.0,314.0,3526.0,5674.0,1046902.468
1pbrR8fCYLXvtakQd5SOga2s+FZeGJhYgihcWUym4VA=,1151.0,974.0,393.0,803.0,2218.0,2794.0,864989.982
6NDP/mJ09KJgVo85udCOy4wsADtdu7RMmw9cSUz9y24=,263.0,47.0,38.0,30.0,1662.0,599.0,438120.15
3nwN+TM1G2XE76fEjAXbGuaAanBpcBaKtbvBvGsAY70=,1014.0,228.0,99.0,50.0,2522.0,3672.0,699406.002
bheHQnNOMGMCWrJ25/rOTeZaJMnvszTaQXKjho3gKTA=,2267.0,188.0,108.0,111.0,3962.0,5623.0,1052119.564
jfYU6cMpD/1DXrxIL20jx+DkgYqg6HQ4tYlXSf8itZo=,85.0,25.0,9.0,11.0,276.0,355.0,73941.473
U8Tb4xkHPlrMQXSZT+gkvpDrWfA7XQnQ80U3rDAvWf0=,758.0,226.0,186.0,492.0,4241.0,2465.0,1270302.115
2K9CtYXbu4/GG8P4vNVG4DFiyy8sqjei99+iEf8cFtM=,256.0,68.0,51.0,56.0,1311.0,1467.0,357706.57
axa4ptfDvEhrLa3Dnd6F9tPJm5wEqIMhUsz4RUnPwbg=,623.0,137.0,121.0,85.0,3316.0,2255.0,870343.738
Z1t25yDMIR53p5MslrdD7o6kZr34E5YsKhQ4sD1IoXw=,211.0,59.0,53.0,61.0,2186.0,2352.0,542020.748
DWKvg7L2jpTxbsONgW+56L/CkKRDPBBxrqEyIF1dVH0=,259.0,110.0,85.0,49.0,2540.0,2816.0,618071.322
F1xSXp7LFdK9gDATt4xLn57+8pCXKT5zZVq7hWkadEA=,610.0,230.0,127.0,60.0,1850.0,1994.0,513175.594
HSgYucxR921a2P/WgbAkuzkETCQF9IX1nthASPac824=,523.0,247.0,119.0,184.0,19006.0,10819.0,4583705.183
YalJ9Q+msl3FB3wK7VHMsJDSfAfhld2yt5lSHNQeHc0=,1596.0,409.0,247.0,207.0,3423.0,5242.0,963669.432
7q/eFnyA4/V+UnCS9Dkf1+l8BqKJYVe2VZdPRKwbdjY=,772.0,188.0,113.0,167.0,1578.0,2373.0,464000.559
h0YleWDYaxMT1oWA6FEr4GjypX21BZZe9VZf6CIAGAc=,461.0,150.0,97.0,149.0,2713.0,2950.0,702764.414
KfLGnOmvsypOOmAfIVJ3c+Ld1/f5ACgPOW2FA0y0oqc=,1952.0,336.0,163.0,146.0,11244.0,10105.0,2963183.8109999998
kmSfHJhFup/+LkpDS/FJxh25gemZAqY1qKwELSRpC6I=,397.0,145.0,104.0,93.0,1477.0,2067.0,429258.235
cD1RJnDTaVpBdjTy2HL5KMq0j0x9nhb5YRRiB3NOet8=,166.0,40.0,27.0,28.0,2446.0,2461.0,612103.987
dRSJ0mLNiCq45XK89ie5fp8SsW867FMXZAN55CAsuK8=,98.0,29.0,18.0,13.0,803.0,836.0,217068.549
zao7Dbjt+h3mXvH+2t0KxwASJk76CcTM6kZVApAaQsA=,306.0,63.0,48.0,99.0,1455.0,1076.0,404752.652
IBtTByZCvZBXSqPP2j9K1aOtlB0TvjTXAaZzTCyp0Ng=,742.0,225.0,176.0,181.0,13228.0,10179.0,3478183.867
ZBOuLWBuH483C7QdqtorLL89K3kKAFszGec338j9pU8=,231.0,76.0,54.0,48.0,1230.0,1469.0,334063.416
6Idx7MCUDakSqdsAohnx3dm3Ao3iP0bAROS0S6V+Bpc=,430.0,125.0,78.0,143.0,38182.0,31162.0,9152020.545
AgdwJlcLfeCtoz5jb9R+4CnEs+VqFhZcS41JryAsN/E=,636.0,177.0,103.0,97.0,4070.0,4101.0,1083849.74
7IrkOmuenJlqFMWl0TEnHlnX4jLYQXgcJJ7ugwup2Dk=,956.0,265.0,151.0,168.0,4256.0,5019.0,1123794.353
bZ7LvDJD0JGnzQdFTqWWraxQBceC7IPZYpwIq6EYLXs=,1102.0,559.0,295.0,319.0,4714.0,5833.0,1321263.241
F+3oZmcoGz97B7zIJwNM+I4iBb8vEv5ta6eL9iMpp3s=,6808.0,2900.0,1372.0,1154.0,9906.0,17913.0,3159598.63
tgygNiI6tFeyl9Yv0N2eeuG9R2S23gu38kRu4vw1SoU=,1080.0,392.0,230.0,169.0,17186.0,10135.0,4345841.586
hrQ45c+Lch7fe//IDxIA2ITq3p3u6IlGfJ3SkcV1XKg=,3434.0,474.0,300.0,349.0,4282.0,7785.0,1236525.236
e/28nZyplWzkRJls8kVT9kL6vFvGVMUXi5uZqPyejrU=,808.0,187.0,114.0,145.0,4657.0,4507.0,1168073.175
N3FN8fefwoE6bY9x8G6REiCr2e1atJ1CTC0ehZTudzo=,1086.0,282.0,182.0,218.0,2242.0,2452.0,669531.661
APR5+rSav9C2J+oXYVpmizcluIZTJ4MkaMtHURUSQmo=,346.0,100.0,78.0,68.0,444.0,992.0,145366.146
90+nDdEdUTIhPVB87dbUaejF7m3CAVI9lPOp/XsZzc4=,1894.0,541.0,399.0,347.0,15011.0,14338.0,3834078.151
sgWTZUBcJQAcJOvGJ1WS4iYBX2Wz+4kkTiieyC/fpr4=,208.0,58.0,51.0,51.0,281.0,416.0,97038.218
UqfGMONHvaFKewAJCRLZdl0hECfvLtZ5zbyys5jY0ds=,765.0,130.0,82.0,109.0,2120.0,2616.0,586569.475
I/yDoLNDpw+QIeX850QURUeK99m24JyvP/0A9j/Mbkw=,2.0,1.0,0.0,1.0,110.0,40.0,20623.237
v3vaNIY0isv0Ed6dyGE15HOIQJUX3+mdp8uSzoDNwbs=,1854.0,300.0,180.0,280.0,3557.0,4697.0,1065510.233
SEugQmTC7K93pVBxSuNnV5L1GdIJ+ScgBQ6NungAMpA=,341.0,88.0,68.0,66.0,1419.0,1456.0,396217.607
jk5Kfo6MuD+CLmrJtTFho2H86h8SdfPmI9sDxHEZ7vg=,466.0,185.0,143.0,116.0,10561.0,9113.0,2634967.096
mxCHCLJcvRQ5A7bE7Bj6KUmA9h0pYEPoKRmed+UEg3s=,183.0,78.0,56.0,70.0,26507.0,15337.0,5875396.749
CgG4DYazp5PqzJJ17nc0s3vwsB3FUWJf1gl2csZIlKQ=,678.0,199.0,125.0,174.0,2407.0,3218.0,659670.107
vvwXHtsqpC2ghsdd30POW4CdwctcRDwo1fc/+eReJ3g=,563.0,184.0,140.0,123.0,2228.0,2746.0,626720.808
zz6FVyCbt/cowrJOn8x/OB4aowRrQFLzDrlo/ULtB+U=,481.0,120.0,81.0,84.0,6763.0,6669.0,1597541.392
U62ayhCDXJ1cM+4CAsuFsZLD0XKjXNh+MlzS8J/BCfA=,965.0,217.0,155.0,150.0,9297.0,7851.0,2265299.19
78DAYeiKV6Q6UaAJ3KpyvXtZe8hmEDfWL2IAhKOlCTc=,121.0,42.0,33.0,22.0,1154.0,1132.0,323258.966
+nvzYpoj+I7kjjZZuZWhLrPX8wsFDYuWTwOid00l1Ro=,47.0,14.0,14.0,9.0,2477.0,1907.0,614626.763
7N+jEL2KhbukLB1dEV+tB7d+JCPhosoBb81uAADRLsk=,105.0,29.0,36.0,19.0,617.0,647.0,174687.114
CHelUGjfjB851F5B2h/fbeyETuzBobLeuyr66UcbKHo=,1585.0,261.0,187.0,172.0,10309.0,11781.0,2439769.702
toonA05bEW7Q14OO7GBbkwhnShefk6+sfonDoVzsCAU=,216.0,528.0,218.0,170.0,334.0,1060.0,217485.837
Y0XUines//WxxntxTXAKUGJd6CaJy77iSZr0JZgzM6I=,495.0,144.0,134.0,135.0,5263.0,4563.0,1319098.703
2JsIntoQQ94RcOptbW+yKG/+nu52dxcXKbiTBwfm1D4=,648.0,73.0,51.0,29.0,1168.0,1525.0,297113.266
A/5gjYgkzBm2U26DmbvXt8B6lxfLQw2InxQk5S9VGrg=,234.0,70.0,53.0,56.0,5137.0,4767.0,1265921.268
tRwANNkFHcQUbH/UARbmvnmLK1NBLn/peuADJtdDvdY=,400.0,160.0,94.0,62.0,1334.0,1764.0,371250.59
IVpbA2kPR+/glTNkhl7n64W+3f+rlvDuWgqmYbgmGwU=,366.0,375.0,133.0,89.0,3579.0,3540.0,982504.201
mZZvklGQXZNea6PqklpNFJIBe09bRE07t80cVJiRXNs=,428.0,126.0,122.0,288.0,4845.0,5040.0,1274200.29
4v1VzzrHZsCkNTIissyJklXsOD8YZ3h/tw0zy/pX17U=,8.0,7.0,3.0,3.0,435.0,360.0,125857.008
EvucMUx213sOvfO/ylc3YAXlqUvuKFXIZ/lLbgDTWzw=,311.0,94.0,74.0,60.0,3549.0,2722.0,854290.892
kVqJw02TkWk+Ml8adrhBW6kPFk1ogQ6eUDT8PlZvumA=,991.0,284.0,149.0,169.0,5727.0,5789.0,1524671.372
396A8WLn+YXVgTebpzNPW9QrjrFduF1cAqDqruBy4p4=,630.0,161.0,93.0,43.0,4881.0,4002.0,1046099.16
3k/CJ/Eeh6j/Tu1619B9n2osxY3zFj6LtElGAYcOcdI=,618.0,160.0,93.0,134.0,3037.0,2100.0,734537.178
QNa9sRtu/8bB2wLt+DMoACwiX8o7uRwI0Je9//E66Eg=,535.0,142.0,120.0,111.0,3635.0,3646.0,974588.167
bx6xOqM2aMy3e2VKz2uratZBlV/9cWweOMsSqydR88s=,2557.0,240.0,164.0,152.0,3194.0,5534.0,862975.062
2q00SBI0Jo3KYVDt2U30R3WsOXTYViBoQI4o/BZ7zqg=,1271.0,211.0,170.0,112.0,4129.0,5344.0,1136028.355
hCRQE5HfMBZUSHBg7/i58BUQqOXQi2gUs4T3MfcydRw=,1180.0,475.0,250.0,289.0,5016.0,5164.0,1395773.132
g6hXsO0CohgyschW1onNeCatm0Pze1+dC2zcVpBaF3Q=,56.0,10.0,15.0,8.0,139.0,201.0,38839.345
T2nda8jiLiztQNAYs7/79N4pDXXT/gZNze7AO4rEvZQ=,177.0,74.0,54.0,56.0,1433.0,1130.0,376087.828
vt9tG9ayiiemngggK7oj6QoueMHsgMl2bdt+E8kH1Nk=,881.0,270.0,372.0,523.0,697.0,2117.0,372280.731
Znus4HOiCgmJ1YZP2JRKotFiMpdNhRqRMmB19s6EBII=,1383.0,226.0,241.0,162.0,4083.0,4834.0,1066443.102
wVibLM5bvZ4oz8hBzoOM4NIXJvri6wdU2eML81SJoA8=,384.0,103.0,90.0,170.0,5604.0,4824.0,1489198.234
rYAFkXyAdQqz38altlpzZ8v1SIsQNk9Cav5Ngzyg96w=,518.0,179.0,129.0,140.0,8183.0,4088.0,1516966.455
n99lO/jVwbGgRgmSyDq2YpHRSuxNYdwfzyizS4H6byw=,5365.0,957.0,657.0,713.0,4700.0,10470.0,1508408.857
O8NKAabJbM3cZLvSFddNgykKJ1DUsV1BfbCn+50ERI4=,168.0,46.0,43.0,41.0,1906.0,1085.0,470478.021
JC0i2kpVc+B0G5oeLa4oQGDlDS9gsII6krOgo9CPf8A=,47.0,12.0,6.0,7.0,288.0,325.0,70585.72
