msno,is_churn,city,bd,gender,registered_via,registration_init_time
W9tc/SIlMBWP/pvujKPOeaWl01n9ymRtGbeLJziv138=,0,13,34,male,9,2007-06-20
UJtkZPd7HQl56pRNTF6S54ktasucbCI+jABl5MdI30I=,1,5,27,female,3,2014-02-23
efVAOXEYVWo/lTPmBYAQW3TqyMoPjTkD9++72W0Il5Y=,0,6,25,male,9,2013-03-23
7uFD1XPF7NO4JQGOpam4NdUGqcmhiropxYMtjwEqixk=,0,13,24,male,7,2015-08-07
7sndp7VottVjQk/fc1yP4/SS1kc/j2JUpmnm+2HM+Bg=,0,13,20,female,4,2016-12-13
iq4RxXCK1jKQW2520cuBgfmfU/SitB3qDOMiT9+pbp8=,0,13,22,male,4,2016-01-08
OSbfEV60E5GatQzc0iJSaDO6CPGPFzGsRL8iZk5mxXw=,1,15,29,female,4,2016-03-25
wssWbyKJuPzP90QvtEfDeIsG7/W6pb3gU4MBmu0ylA4=,0,13,35,male,9,2006-01-19
1pbrR8fCYLXvtakQd5SOga2s+FZeGJhYgihcWUym4VA=,1,12,0,female,9,2016-08-12
6NDP/mJ09KJgVo85udCOy4wsADtdu7RMmw9cSUz9y24=,0,5,22,male,4,2015-10-23
3nwN+TM1G2XE76fEjAXbGuaAanBpcBaKtbvBvGsAY70=,0,13,31,male,9,2007-06-16
bheHQnNOMGMCWrJ25/rOTeZaJMnvszTaQXKjho3gKTA=,0,14,25,female,9,2014-04-09
jfYU6cMpD/1DXrxIL20jx+DkgYqg6HQ4tYlXSf8itZo=,0,15,22,female,9,2014-06-29
U8Tb4xkHPlrMQXSZT+gkvpDrWfA7XQnQ80U3rDAvWf0=,1,21,21,male,4,2016-05-08
2K9CtYXbu4/GG8P4vNVG4DFiyy8sqjei99+iEf8cFtM=,0,14,37,male,9,2006-08-09
axa4ptfDvEhrLa3Dnd6F9tPJm5wEqIMhUsz4RUnPwbg=,0,15,19,female,9,2012-08-16
Z1t25yDMIR53p5MslrdD7o6kZr34E5YsKhQ4sD1IoXw=,0,5,36,male,9,2007-02-25
DWKvg7L2jpTxbsONgW+56L/CkKRDPBBxrqEyIF1dVH0=,0,13,39,male,9,2011-03-11
F1xSXp7LFdK9gDATt4xLn57+8pCXKT5zZVq7hWkadEA=,0,10,25,male,3,2013-01-20
HSgYucxR921a2P/WgbAkuzkETCQF9IX1nthASPac824=,0,5,52,female,7,2015-11-11
YalJ9Q+msl3FB3wK7VHMsJDSfAfhld2yt5lSHNQeHc0=,0,8,22,female,9,2014-01-05
7q/eFnyA4/V+UnCS9Dkf1+l8BqKJYVe2VZdPRKwbdjY=,0,13,27,female,9,2005-07-20
h0YleWDYaxMT1oWA6FEr4GjypX21BZZe9VZf6CIAGAc=,0,6,36,female,9,2011-06-15
KfLGnOmvsypOOmAfIVJ3c+Ld1/f5ACgPOW2FA0y0oqc=,0,15,22,male,9,2011-01-25
kmSfHJhFup/+LkpDS/FJxh25gemZAqY1qKwELSRpC6I=,0,4,24,male,7,2014-05-09
cD1RJnDTaVpBdjTy2HL5KMq0j0x9nhb5YRRiB3NOet8=,0,15,29,female,9,2012-05-08
dRSJ0mLNiCq45XK89ie5fp8SsW867FMXZAN55CAsuK8=,1,11,34,male,4,2016-01-26
zao7Dbjt+h3mXvH+2t0KxwASJk76CcTM6kZVApAaQsA=,0,5,42,male,4,2016-05-22
IBtTByZCvZBXSqPP2j9K1aOtlB0TvjTXAaZzTCyp0Ng=,0,15,30,male,7,2013-04-26
ZBOuLWBuH483C7QdqtorLL89K3kKAFszGec338j9pU8=,1,6,36,female,9,2010-03-13
6Idx7MCUDakSqdsAohnx3dm3Ao3iP0bAROS0S6V+Bpc=,0,22,60,female,9,2012-01-13
AgdwJlcLfeCtoz5jb9R+4CnEs+VqFhZcS41JryAsN/E=,0,4,25,male,9,2011-03-20
7IrkOmuenJlqFMWl0TEnHlnX4jLYQXgcJJ7ugwup2Dk=,1,4,20,female,7,2016-02-14
bZ7LvDJD0JGnzQdFTqWWraxQBceC7IPZYpwIq6EYLXs=,0,13,26,male,7,2012-03-16
F+3oZmcoGz97B7zIJwNM+I4iBb8vEv5ta6eL9iMpp3s=,0,11,26,female,9,2010-07-27
tgygNiI6tFeyl9Yv0N2eeuG9R2S23gu38kRu4vw1SoU=,0,4,24,male,3,2013-12-10
hrQ45c+Lch7fe//IDxIA2ITq3p3u6IlGfJ3SkcV1XKg=,0,15,24,female,9,2010-11-26
e/28nZyplWzkRJls8kVT9kL6vFvGVMUXi5uZqPyejrU=,0,13,27,female,9,2008-05-06
N3FN8fefwoE6bY9x8G6REiCr2e1atJ1CTC0ehZTudzo=,0,4,0,female,9,2016-06-14
APR5+rSav9C2J+oXYVpmizcluIZTJ4MkaMtHURUSQmo=,0,5,35,male,9,2011-09-05
90+nDdEdUTIhPVB87dbUaejF7m3CAVI9lPOp/XsZzc4=,0,5,23,male,9,2015-09-19
sgWTZUBcJQAcJOvGJ1WS4iYBX2Wz+4kkTiieyC/fpr4=,1,21,17,male,4,2017-03-15
UqfGMONHvaFKewAJCRLZdl0hECfvLtZ5zbyys5jY0ds=,0,22,23,male,3,2014-01-03
I/yDoLNDpw+QIeX850QURUeK99m24JyvP/0A9j/Mbkw=,0,13,39,female,9,2006-04-09
v3vaNIY0isv0Ed6dyGE15HOIQJUX3+mdp8uSzoDNwbs=,0,4,26,male,7,2013-02-20
SEugQmTC7K93pVBxSuNnV5L1GdIJ+ScgBQ6NungAMpA=,0,13,27,female,9,2011-12-05
jk5Kfo6MuD+CLmrJtTFho2H86h8SdfPmI9sDxHEZ7vg=,0,4,30,female,7,2010-10-04
mxCHCLJcvRQ5A7bE7Bj6KUmA9h0pYEPoKRmed+UEg3s=,0,15,46,female,7,2014-07-06
CgG4DYazp5PqzJJ17nc0s3vwsB3FUWJf1gl2csZIlKQ=,0,4,29,female,9,2010-04-26
vvwXHtsqpC2ghsdd30POW4CdwctcRDwo1fc/+eReJ3g=,0,6,20,male,9,2015-10-03
zz6FVyCbt/cowrJOn8x/OB4aowRrQFLzDrlo/ULtB+U=,0,13,24,female,9,2011-08-04
U62ayhCDXJ1cM+4CAsuFsZLD0XKjXNh+MlzS8J/BCfA=,1,13,36,male,9,2006-09-19
78DAYeiKV6Q6UaAJ3KpyvXtZe8hmEDfWL2IAhKOlCTc=,0,5,30,male,9,2006-03-22
+nvzYpoj+I7kjjZZuZWhLrPX8wsFDYuWTwOid00l1Ro=,0,4,40,female,3,2015-08-21
7N+jEL2KhbukLB1dEV+tB7d+JCPhosoBb81uAADRLsk=,1,13,27,female,4,2017-02-10
CHelUGjfjB851F5B2h/fbeyETuzBobLeuyr66UcbKHo=,0,15,21,female,9,2009-08-23
toonA05bEW7Q14OO7GBbkwhnShefk6+sfonDoVzsCAU=,0,13,29,male,9,2010-04-03
Y0XUines//WxxntxTXAKUGJd6CaJy77iSZr0JZgzM6I=,0,5,23,male,9,2013-06-12
2JsIntoQQ94RcOptbW+yKG/+nu52dxcXKbiTBwfm1D4=,0,13,18,female,3,2014-10-29
A/5gjYgkzBm2U26DmbvXt8B6lxfLQw2InxQk5S9VGrg=,0,5,34,male,9,2004-11-23
tRwANNkFHcQUbH/UARbmvnmLK1NBLn/peuADJtdDvdY=,0,6,0,female,9,2016-09-12
IVpbA2kPR+/glTNkhl7n64W+3f+rlvDuWgqmYbgmGwU=,0,22,22,female,4,2015-11-09
mZZvklGQXZNea6PqklpNFJIBe09bRE07t80cVJiRXNs=,0,13,33,male,3,2014-07-24
4v1VzzrHZsCkNTIissyJklXsOD8YZ3h/tw0zy/pX17U=,0,4,34,female,7,2016-03-09
EvucMUx213sOvfO/ylc3YAXlqUvuKFXIZ/lLbgDTWzw=,0,15,32,male,9,2014-05-18
kVqJw02TkWk+Ml8adrhBW6kPFk1ogQ6eUDT8PlZvumA=,0,13,26,female,3,2012-01-03
396A8WLn+YXVgTebpzNPW9QrjrFduF1cAqDqruBy4p4=,1,13,38,female,9,2008-04-11
3k/CJ/Eeh6j/Tu1619B9n2osxY3zFj6LtElGAYcOcdI=,0,14,32,female,7,2014-10-26
QNa9sRtu/8bB2wLt+DMoACwiX8o7uRwI0Je9//E66Eg=,0,4,33,male,7,2013-11-06
bx6xOqM2aMy3e2VKz2uratZBlV/9cWweOMsSqydR88s=,1,13,37,female,9,2011-01-12
2q00SBI0Jo3KYVDt2U30R3WsOXTYViBoQI4o/BZ7zqg=,0,6,29,female,3,2015-10-26
hCRQE5HfMBZUSHBg7/i58BUQqOXQi2gUs4T3MfcydRw=,0,13,32,female,9,2006-11-13
g6hXsO0CohgyschW1onNeCatm0Pze1+dC2zcVpBaF3Q=,0,13,23,female,3,2013-05-09
T2nda8jiLiztQNAYs7/79N4pDXXT/gZNze7AO4rEvZQ=,0,17,24,male,7,2014-10-19
vt9tG9ayiiemngggK7oj6QoueMHsgMl2bdt+E8kH1Nk=,0,13,22,female,4,2016-04-02
Znus4HOiCgmJ1YZP2JRKotFiMpdNhRqRMmB19s6EBII=,0,13,33,female,7,2010-04-03
wVibLM5bvZ4oz8hBzoOM4NIXJvri6wdU2eML81SJoA8=,0,22,23,female,9,2008-08-19
rYAFkXyAdQqz38altlpzZ8v1SIsQNk9Cav5Ngzyg96w=,0,13,37,female,9,2008-03-18
n99lO/jVwbGgRgmSyDq2YpHRSuxNYdwfzyizS4H6byw=,0,5,25,female,3,2012-06-14
O8NKAabJbM3cZLvSFddNgykKJ1DUsV1BfbCn+50ERI4=,0,14,28,male,7,2012-09-25
JC0i2kpVc+B0G5oeLa4oQGDlDS9gsII6krOgo9CPf8A=,0,20,26,female,7,2013-03-17
9NJGvmJpOFGlUjxQNG6/BkornziL3MIYn1Wl33OBUA0=,0,22,35,male,9,2010-01-16
6An5DA+epqd6BrP/fl8kO/Z8zGquNPcnTQLF3YeGB6k=,0,5,34,male,9,2008-08-01
JXD5O3G+vcEK8HDaUxUdXfqXKA/vq03dHSCPAMxfBtg=,0,22,31,female,9,2005-09-24
GMImacpdT5b8nQ+pUwWzrUJt2CwVojHorRi7IcSUAmk=,0,5,21,female,4,2015-11-22
q1jBBKV0PSvf1iFf2HgNg9Gn6+VcVMmv/IHxI/R4RcI=,0,5,39,female,9,2009-03-17
Hm7yptGn0NjPM5YSoO+2lg027tqEDsfYevVpuqPu7hc=,1,5,19,female,4,2015-11-28
hnj+SUFHoweLlmzdav/q7C5QqZhS4urLMsdq8QFzRHk=,0,6,23,male,3,2016-01-03
oyIGD0C9Pz5RA7PhoIY01ATVALVBiPkUCpKNufgt29U=,0,13,26,male,3,2012-05-31
MaTyv710DQVNbDT1IPoyflMbR4neLlK0eNKqr5iJFZo=,0,22,22,female,3,2015-04-14
KR7iF3pi87/cpANDp8ts7jvTOp9bgcS9J99ZzGNGmXk=,0,5,38,male,9,2008-10-30
AfSrqEbtraEHa9hvC/SOAgarl/JPZy3YyOGX9d9GudU=,0,22,0,male,9,2005-01-18
2DdgK+c/As8zkzR6X271R6ZNYvONrSxTf44rrtbRvs0=,0,6,27,female,3,2014-12-04
wD5RpgL0koUt2pK6EAx97If5fbmFFccfceH6ekUS/Ys=,0,13,37,female,9,2006-04-07
dPIKeZKH8Iwwm9wROGz2hXwXOch5x3jwA+CDo/cyiw8=,0,13,24,male,3,2013-03-29
YfEf48bh5p37GAaXG/WBFYrk1uDIV/RcrEEX0zm/MZk=,0,14,19,female,3,2015-10-05
CxyVnh6F9YhOLKOJQXpuvrstilCkva4WwTor6Xv+l4M=,0,5,18,male,4,2016-02-29
i2lAm6V1N6xYIJPUnqJ8097V0SlkrwD6HkhImELk31A=,0,13,24,male,9,2010-03-08
C0Onq06usdmXQ0dk9ekWkqMUpvMKLpPlAOnZZijymKE=,0,13,23,male,3,2014-10-05
AthTm95U39YOWhW5lp22NO6FfB8ssfj9qMw996hICxs=,0,16,34,female,7,2015-08-26
7e8xmeHY85GhBL1hsbIQI7xPxyuKXWrR2+qR4qvCJfE=,0,15,21,male,9,2015-09-04
+3QrouiThJk1xiq2PldATemr1Zh50QjmVHtTU1zVcEk=,0,18,34,male,3,2015-07-25
70Qg6vp4RnPbKy0fkvHkg6W7kgjtgqcsNDoL6dJ71hU=,0,4,46,female,7,2015-12-06
eyVDfb0iaHIldegYc4Z7VScSxm/NZtmFc0e23wrIHj0=,1,15,23,female,9,2012-09-19
du2hGwKYB/F7SIUnSilU9e3DX6N3s1QB2biFnCDNIXE=,1,12,30,female,9,2011-05-03
oYX0yQJXjKH6wtKiemhqvOg97L4ir3tpRFXqy/jp2+g=,0,13,44,female,9,2007-05-05
9Vr3f0mkRbCl9RQWRTypIqhqR3Re7fvdUmTRAhiCnzQ=,0,4,29,male,9,2007-10-12
Xd5zDXe8l1eknHDE5NH6j8IkWXDG8bJ+xtQNpxS85yQ=,0,4,28,female,9,2005-03-08
8cw8DJvn10/hX/2giPCYhhx0MWqgmwUjf7Fs0/5DCKw=,1,5,26,male,9,2014-02-28
nZ0PMBWINxwDlyflJOjryD9r8YmtuXXjkr62QJv1s/Q=,0,5,62,female,9,2011-06-11
QC7Vw9wdSkTmIqUvxGURyy/5yU2imqKlJKQICUvG4TM=,0,22,22,male,9,2007-04-26
sRT550rc5OiSQ24OyFMbl3lj2i/RILfQ0NvBtJ3K/bI=,0,5,28,male,9,2006-04-09
IOYagtdr0CEK4jyvpodcM26nR5mZpS7BGYF7F2+dm/E=,0,21,34,male,7,2012-06-21
T08dIBgPfXpWFOUNXya25upe60oeN/dxhK7VbQeWqis=,0,22,23,female,7,2016-11-13
gGsXm3fvL6SIUHJTIzmvZ3ovj/BH7zoppJlomb9buRY=,0,15,45,female,3,2016-03-09
2/VuGKHdh0akyWnPveJL7h0Amv5fa4FBYHn90VGyMyU=,0,13,28,female,9,2007-09-19
le8o9Jj/5dut7L6e7SgWVjBBGOh8RZDYx5/x198ilHA=,0,22,22,male,7,2016-05-30
8idV+2ribZS0VFgVTMqn6ioDSFmCiZhjQf83B97qeN4=,0,5,33,female,9,2013-01-28
usHdf84gmKv9HMnW1tdflnA0RJZw32BNcEw17o62/5E=,0,14,46,female,9,2006-11-28
Ek1qKVBXxE9ugRkR0BUC+z76dPRZQK+fEIkzc0Aeiug=,0,5,29,male,9,2010-06-28
gmMO959UpjPkFGVKhtnj6jqeBGstmp9TdixvH30RHIQ=,0,8,28,male,7,2013-05-08
VEdxpjGQNzS6aRaJ0jwPfPG7MdOhg6xFkCG9MSlEilw=,0,15,34,female,9,2010-03-16
Go1TTGAVRcii3vc46+Dt1uAlWc/ZVBzXW/vdYbtYMsE=,0,4,27,female,3,2013-07-06
hzkBDAqVr71xFtS5JJcWoyOWUVxXlo8PJYpuQNwEnuQ=,1,7,27,male,3,2012-09-30
yHPnv/wDs9kw0UEYNX8Jbn4ym9KPAujE4ZHiF14m9AY=,0,13,22,male,3,2015-03-22
OH7clqe4bJOHT9yg6II8Dy71yVpwxOcLqjU0VnncYNA=,1,4,21,male,3,2015-09-20
SBfjUMjH7lEFHfdNPMPXQ9Y7WXeo7Zcopcs/gAv6gSk=,1,4,25,female,3,2013-09-13
